abandoned	заброшенный
rules	правила (от rule)
rule	правило, принцип, норма, управлять, решать
ruling	правящий (
rumour	слух, молва
rum	ром, странный
rung	ступенька, спица колеса
runners	бегуны 
runner	бегун
running	пробег, бегущий
runs	пробега 
run	бегать, двигаться, бег, движение, направление
ruse	уловка, хитрость
rush	устремляться, бросаться, мчаться
Russian	русский
Russia	россия
rustle	шелест, шорох, шелестеть, шуршать
rusty	заржавленный, порыжевший
rust	ржавчина, ржаветь
ruth	жалость, сочувствие, участие, сострадание
rut	колея, привычка
rye	рожь
sabotage	саботаж, саботировать
sack	мешок
sacred	священный
sacrifice	жертва
saddle	седло, седлать
sadly	печально
sadness	печаль
sad	печальный
safeguard	гарантия
safety	безопасность
safe	сейф, безопасный, надежный
said	сказал (от say)
sailor	матрос
sail	парус, плыть
saint	святой
sake	ради, для
salad	салат, винегрет
salary	оклад
sale	распродажа
sally	поездка, прогулка
salmon	лосось
salts	соли 
salt	соль, соленый, солить
salute	приветствовать, салют
salvage	спасать (!NEW!)
salvation	спасение
same	тот же, так(ой) же
sample	образец
Sam	сэм 
sanction	санкция
sandwiches	бутерброды 
sandwich	бутерброд
sandy	песчаный
sand	песок
sanguine	живой, жизнерадостный, румяный (не spirited)
sang	пел, спел (от sing)
sank	тонул (!NEW!)
sap	сок (растений); подрывать
satisfaction	удовлетворение
satisfactorily	удовлетворительно
satisfactory	удовлетворительный
satisfy	удовлетворять
Saturday	суббота
sat	сидел (от sit)
saucepan	кастрюля
saucepan	кастрюля
saucer	блюдце
sauce	соус, приправа, поливать соусом
sausage	колбаса, сосиска
savagely	свирепо, дико
savage	дикарь
saved	спасал (от save)
save	спасать, хранить, экономить
saving	экономия
saviour	спаситель
savoury	вкусный, пикантный, приятный
saw	видел, смотрел (от see)
saying	говорящий (от say)
say	сказать, говорить
scaffold	эшафот
scale	масштаб
scan	просмотр 
scarcely	едва
scarce	редкий, едва (не barely, merely, hardly)
scared	напуганный (!NEW!)
scare	испуг
scarf	шарф
scarlet	алый
scar	шрам, рубец
scattered	разбросанный, раскиданный 
scatter	разбрасывать, рассеивать
scenery	декорации
scenes	сцены, эпизоды (от scene)
scene	действие, картина, сцена
scent	запах, духи, след, почуять, нюхать (не smell)
schedule	расписание, таблица, планировать
schemes	схемы 
scheme	проект
scholars	ученые 
scholar	ученый
schoolboy	школьник
schoolmaster	учитель
school	школа, обучать
Science	наука, умение
scientific	научный
scientist	ученый
scissors	ножницы
scold	бранить, ругать
scope	пределы
score	счет, отметка, выигрывать
scornful	презрительный
scorn	презрение, презирать
Scotch	надрез, метка, уничтожать
scoundrel	негодяй
scout	разведчик
scowled	Хмурился (не от слова frown) 
scrambled	боролся(взбирался) 
scramble	карабкаться
scrap	клочок, кусочек, отрывок
scratched	поцарапанный 
scratch	царапать
scream	вскрикнуть, зареветь, визг, вопль (не shriek)
screen	экран, перегородка, прикрывать
screw	привинчивать, завинчивать, принуждать, винт
scribble	каракули, писать неразборчиво
scripts	подлинники(сценарии) 
script	сценарий
scrub	тереть
scuba	акваланг 
scuffle	драка, потасовка
sculpture	скульптура
seal	печать, запечатывать
seaman	моряк
seam	шов
search	искать, обыскивать, поиск, обыск
seasick	страдающий морской болезнью
seaside	морское побережье
season	время года, сезон, созревать
seated	помещенный 
seats	места (от seat)
seat	место, сиденье, сажать, усаживать
seaweed	морская водоросль 
sea	море, океан
secondary	средний, второстепенный
secondly	во-вторых
second	второй, помощник, секунда
secretary	секретарь
secretion	укрывательство 
secret	секрет
section	отделение, делить на части
secure	страховать
security	безопасность
sedate	спокойный
seedlings	рассада 
seedling	рассада 
seeds	семена 
seed	семя, семена
seeing	видящий (от see)
seek	искать (не find)
seeming	видимый, мнимый (не visible)
seem	казаться
seen	увиденный (от see)
see	(у)видеть, встретиться
segment	доля (не portion, section) 
seized	захваченный (!NEW!)
seize	хватать
seldom	редко
selected	отобранный 
selection	отбор
select	выбирать, сортировать, избранный
selfish	эгоистичный
self	сам, себя
seller	торговец (не trader)
selling	продажа
sell	продавать, торговать
semicolon	точка с запятой
semi	полу 
send	отправлять, посылать
senior	старший
sensation	чувство
senses	чувства 
sense	чувство, здравый смысл, чувствовать
sensible	разумный
sensitiveness	чувствительность 
sensitive	чувствительный
sentence	предложение
sentiments	чувства 
sentiment	настроение
sent	отправил, послал, отправленный, посланный (от send)
separated	отделенный 
separate	отдельный
separation	отделение, разделение
September	сентябрь
sequel	продолжение, результат
sequence	последовательность
sergeant	сержант
series	серия
seriously	серьезно
serious	серьезный
sermon	проповедь
serpent	змея, змей
servant	слуга
servers	прислуга 
server	прислуга 
serve	служить, обслуживать, подавать
services	услуги 
service	сервис, обслуживание
serving	порция
session	заседание (не sitting)
sets	декорации (от set)
setting	окружение
settlement	поселение
settle	поселять, устраивать, оплачивать
set	класть, ставить, помещать, комплект
seventeen	семнадцать
seventh	седьмой
seventy	семьдесят
seven	семь
several	несколько
severely	строго
severe	суровый, жестокий
sew	шить
sexual	сексуальный
sex	пол
shabby	потрепанный, поношенный
shades	оттенки (от shade)
shade	оттенок, тень, затенять
shadow	тень, покров, заслонять
shady	тенистый, сомнительный, темный
shaft	древко, ручка, рукоятка, вал (тех.)
shaggy	лохматый
shake	пожать (руки), дрожать, трясти
shallow	мелкий, поверхностный, (от)мель
shall	модальный глагол долженствования
shame	стыд, стыдить, стыдиться
sham	притворство, обман
shaped	форменный 
shapeless	бесформенный
shape	форма
share	разделять, доля, часть
shark	акула
sharpen	точить
sharply	резко
sharp	точно, ровно, резкий, крутой, плутовать
shave	(по)бриться, бритье, подстригать
shaving	бритье (
shawl	платок, шаль
shed	сарай
sheep	овца, овцы
sheer	настоящий
sheet	простыня, лист, пласт
shelf	полка
shells	снаряды(раковины) 
shell	раковина, скорлупа
shelter	приют, убежище
shelves	полки 
shepherd	пастух
sheriff	шериф 
she	она
shield	щит
shift	смена, перемещать
shilling	шиллинг
shindy	шум, скандал
shine	сиять, светить
shiny	солнечный (не sunny) 
shipwreck	кораблекрушение
ship	корабль, пароход, грузить, перевозить
shirt	рубашка, блузка
shiver	дрожать, дрожь, трепет
shocking	потрясающий
shock	удар
shoemaker	сапожник
shoes	обувь, туфли (от shoe)
shoe	ботинок, туфля
shone	сиял, блестел (!NEW!)
shook	трёс (!NEW!)
shooting	стрельба 
shoot	стрелять, застрелить
shopping	делать покупки
shops	магазины (от shop)
shop	магазин, мастерская
shore	берег
shorter	короче (от short)
shortest	ближайший, самый короткий (от short)
shorthand	стенография
shortly	вскоре
shorts	трусики
short	короткий, слабый, внезапно
shot	попытка, выстрел
shoulder	плечо, толкать
should	следует (от shall)
shout	кричать, крик
Shoved	пихал (не popped) 
shovel	лопата
shove	толкать(ся), пихать, толчок
showed	показал (от show)
shower	душ, ливень
shown	показанным 
show	показывать, демонстрировать, выставка, зрелище
shrewd	проницательный, ловкий (делец)
shriek	кричать, вскрикнуть, пронзительный крик (не scream)
shrill	резкий, пронзительный
shrimp	креветка
shrine	сохранять
shrink	отпрянуть, садиться (о материи)
shrubs	кусты (не bushes) (!NEW!)
shrub	куст
Shrugged	пожал 
shrug	пожимать плечами
shudder	дрожь, вздрагивать; содрогаться
shuffle	шаркать
shutdown	закрытие 
shutter	ставень, затвор
shut	закрывать, запирать, замолчать
shy	застенчивый, робкий
sibilant	шипящий звук
sickly	болезненный, нездоровый, тошнотворный
sickness	болезнь, заболевание
sick	больной
sidenote	заметка на полях 
sideways	боком, косвенно
side	сторона, бок, край
sierra	горная цепь
sieve	решето, сито
sights	достопримечательности
sight	зрелище, вид, заметить, разглядеть
sigh	вздыхать, вздох
signal	сигнал, сигнализировать
signature	подпись
signed	подписанный 
significance	значение
significantly	значительно
significant	значительный
signify	значить, означать, иметь значение
signs	знаки, вывески (от sign)
sign	подписывать(ся), знак, вывеска
silence	молчание, тишина
silent	молчаливый, бесшумный
silk	шелковый, шелк
silly	глупый
sill	подоконник
silver	серебро, серебряный
similarly	также
similar	похожий
simple	простой, однозначный
simplicity	простота (
simply	просто, абсолютно
simulator	симулянт
simultaneously	одновременно
simultaneous	одновременный
sincerely	искренне (не earnestly) 
sincere	искренний (
since	с тех пор как
singing	пение 
single	один, одинокий
singular	странный, необычный, единственное число (грам.)
sing	пение, петь
sinister	зловещий
sinking	погружение
sink	тонуть
sink	тонуть
sin	грех, (со)грешить
sire	родитель 
sir	сэр
sister	сестра
site	местоположение
sitting	заседание
situated	расположенный
situation	положение
Sit	сидеть, заседать, годиться
Sixpence	сумма в 6 пенсов
sixteen	шестнадцать
sixth	шестой
sixty	шестьдесят
six	шесть
size	размер, величина, измерить
skeleton	скелет, остов
sketch	эскиз
skiing	катание на лыжах
skilful	квалифицированный, умелый, ловкий
skilled	квалифицированный, умелый, ловкий
skill	мастерство
skim	просматривать, скользить
skinner	погонщик (!NEW!)
skinny	худой, тощий, кожа да кости (!NEW!)
skins	кожи 
skin	кожа
skip	пропускать (часто бывает при устано (!NEW!)
skirt	юбка
ski	ходить на лыжах
skull	череп
sky	небо
slab	плита
slacken	ослаблять, ослабевать
slack	ленивый, слабый, ослаблять, утихать
slammed	Хлопнул 
slam	хлопать, хлопнуть
slang	жаргон
slant	наклонный
slap	хлопать
slaughter	резня, убой, резать, убивать
slaves	рабы (!NEW!)
slave	раб
sledge	ехать на санях
sleek	гладкий, приглаживать
sleepy	сонный, сонливый (не asleep)
sleep	спать, сон
sleeve	рукав
sleigh	сани, салазки
slender	тонкий, стройный
slept	спал (от sleep)
slice	ломоть
slide	скользить
slid	скользить (не slip) (!NEW!)
slightest	малейший (от slight)
slightly	слегка
slight	проявление пренебрежительного равнодушия;неуважение, пренебрежение, игнорирование
slime	слизь, липкая грязь, ил; комбинация (белье)
slim	стройный
slippery	скользкий
slip	скольжение, скользить
slogan	лозунг
slope	склон, наклон, гора для катания
slower	медленнее (от slow)
slowly	медленно
slow	медленный, замедлять
slumber	сон, дремота, дремать
sly	хитрый
smack	рыболовное судно
smallest	самый маленький 
small	маленький, тонкий, скромный
smartly	ловко
smart	изящный (не grace)
smashed	разбитый 
smashing	сокрушительный,разящий (дословный перевод) (переносный:замечательный, великолепный, потрясающий)
smash	бить, разбивать
smear	масляное пятно, пачкать, мазать
smell	запах
smelt	плавить
smiles	улыбки 
smile	улыбаться, улыбка
smoked	курил (от smoke)
smoker	курящий, вагон для курящих
smoke	курить, курение, дым
smoking	курение
smoothly	гладко (!NEW!)
smooth	гладкий
snack	закуска, часть, доля
snake	змея
snapped	сфотографированный 
snap	щелкать (snap)
snare	ловушка
snarl	рычать, огрызаться; рычание, ворчание
snatch	схватить
sneer	усмешка, насмешка; насмехаться, издеваться
sneeze	чихать, чиханье
sniffed	фыркал 
sniffing	фыркающий 
sniff	фыркать, сопеть
snigger	хихикать, хихиканье
snoop	подсматривать (!NEW!)
snore	храпеть, храп
snorted	фыркал (не от слова sniff) 
snowman	снежная баба
snow	снег, падать (о снеге)
snuff	нюхнуть 
soap	мыло
sobbing	рыдание 
sober	трезвый
sob	рыдание
sociable	общительный
social	общественный
society	общество
socket	патрон (эл. лампочки), глазная впадина
socks	носки (от sock)
sock	носок
sofa	диван
softened	смягченный 
soften	смягчать(ся)
softly	мягко, нежно
software	программное обеспечение 
soft	мягкий, тихий (не calm)
soil	почва
solder	паять
soldier	солдат
sold	продавал, проданный (от sell)
solely	исключительно 
solemnly	торжественно
solemn	серьезный, торжественный
sole	подошва, подметка; ставить подметку
solid	твердый
solitary	одинокий, уединенный
solitude	одиночество, уединение
solution	решение, разрешение
solve	(раз)решать
somehow	как-нибудь, так или иначе
sometimes	иногда
somewhat	что-то, отчасти
somewhere	где-нибудь
some	немного, несколько
song	песня
sons	сыновья (от son)
son	сын
sooner	охотнее (от soon)
soon	скоро, рано
soothe	успокаивать, утешать, облегчать (боль)
soothing	успокаивающий
soot	сажа
sophisticated	сложный
sore	больной, воспаленный (не sick)
sorrowful	печальный, скорбный
sorrow	печаль
sorry	сожалеющий, печальный, унылый
sorting	сортировка 
sort	сорт, род, вид, сортировать
sought	искавший(разысканный) 
souls	души 
soul	душа, воплощение
sounding	звучащий
sounds	звучит (от sound)
sound	звук, звучать, играть
soup	суп
source	источник
sour	раздражительный, сердитый, кислый
southern	южный
south	юг
souvenirs	сувениры (от souvenir)
souvenir	сувенир
sovereign	суверенный
soviet	советский 
sow	сеять
so	так, таким образом, итак
space	пространство, место, космос
spacious	просторный, обширный
spade	лопата, заступ
spared	сэкономленный 
spare	уделять, лишний, запасный
sparkler	бриллиант 
sparkle	сверкать, искриться
spark	искра
sparrow	воробей
spasmodic	судорожный
spat	размолвка, звонкий удар
speaker	оратор
speaking	говоря(щий) (от speak)
speaks	говорит 
speak	говорить, убеждать
spear	дротик, копье
specialist	специалист
speciality	фирменное блюдо
specialize	специализировать
specially	особенно
special	специальный, особенный
species	порода
specifically	специфически
specification	спецификация 
specific	специфический
specified	указанный 
specify	точно определять, устанавливать, предписывать; детально излагать
specimens	Экземпляры, образцы 
specimen	образец
spectacles	очки
spectacle	зрелище
spectacular	производящий глубокое впечатление; впечатляющий; эффектный
speculation	размышление
speechless	безмолвный
speech	речь
speedily	быстро
speedometer	спидометр
speedy	быстрый, скорый
speed	скорость, ускорять, спешить
spelling	орфография, правописание
spell	писать или произносить (слово) по буквам
spends	проводит (время) (от spend)
spend	тратить
spent	проводил, тратил, проведенный, потраченный (от spend)
sphere	сфера
spiders	пауки 
spider	паук
spike	острие (!NEW!)
spill	проливать(ся), рассыпать(ся)
spine	позвоночный столб
spin	прясть, крутить(ся)
spirited	живой, бойкий
spirits	души (!NEW!)
spirit	дух
spiteful	злобный
spite	злость
spit	плеваться, фыркать
splash	брызгать(ся), забрызгать, плескать(ся); плеск, брызги
splendid	замечательно
splinter	щепка, осколок, заноза
split	раскалывать
spoil	портить, баловать
spoken	сказанный (!NEW!)
spoke	говорил, говоривший (от speak)
sponsorship	попечительство
spoons	ложки (от spoon)
spoon	ложка
spoon	ложка
sporting	спортивный (
sportsman	спортсмен
sports	спорт, спортивные соревнования (от sport)
sport	спорт, заниматься спортом
spotless	безупречный
spots	пятна(места) 
spotted	определенный
spot	пятно
spout	носик (посуды), желоб
sprang	прыгал (от слова spring) 
spray	брызги, обрызгивать
spreading	распространение
spread	распространяться
spree	веселье, шалость
spring	весна
sprout	пускать ростки; отросток, побег
spruce	ель 
sprung	прыгал (от слова spring) 
spurt	бить струей, делать внезапное усилие
spur	стимул
spy	шпион, шпионить
squadron	эскадрон, эскадра (мор.)
squad	команда
squall	писк, визг
square	площадь, квадратный
squeal	визг
squeezed	сжатый 
squeeze	выжимать, сжимать, давить, впихивать, сжатие, давка
squint	косоглазие, косить (о глазах)
squirrel	белка
stability	устойчивость
stable	конюшня
stack	стог, куча, груда
stadium	стадион
stadium	стадион
staff	штат, персонал, штаб
stage	сцена, эстрада, ставить
Staggered	пораженный
stagger	шатание, шатать
stain	пятно, пятнать, пачкать
staircase	лестница
stair	лестница
stake	ставка, делать ставку
stale	черствый, затхлый
stalk	стебель
stalls	кресла в партере ( от stall)
stall	партер
stammer	заикаться, запинаться
stamps	марки (от stamp)
stamp	марка, печать, штемпелевать
standard	стандарт
standing	репутация, вес, положение в обществе, стоящий (
standstill	застой (не stagnation)
stand	остановка, позиция, стенд, киоск, стоять, останавливаться
stared	пристальный (!NEW!)
stare	пристальный взгляд
starling	скворец
starter	стартер
startle	испугать, сильно удивить
starts	запуски 
start	начинать, отправляться
starve	умирать от голода
star	звезда
stated	зафиксированный, высказанный, изложенный заявленный 
stately	величавый, величественный
statements	утверждения(заявления) 
statement	утверждение, заявление
statesman	государственный деятель
states	государства 
state	государство, состояние
stationery	писчебумажные принадлежности
station	станция, место, размещать
statistics	статистика
statue	статуя, памятник
stature	рост
status	статус
statute	закон, устав
stayed	остался (от stay)
staying	остающийся, живущий (от stay)
stay	оставаться, жить (временно)
St	C
steadily	неуклонно
steady	прочный
steak	бифштекс
stealing	кража 
steal	(с)воровать
steam	пар
steel	сталь
steep	крутой (не sharp)
steer	править (рулём)
stems	стебли 
stem	стержень
stepfather	отчим
stephen	стивен 
step	шаг, шагать (step)
sterile	бесплодный (!NEW!)
sterility	бесплодие 
sternly	строго (!NEW!)
stern	строгий
Steve	стив 
stew	тушеное мясо
sticking	торчащий, приклеенный (
Sticks	палки 
sticky	липкий, клейкий
stick	палка, приставать
stiffen	(о)коченеть, (о)деревенеть
stiff	негнущийся, застывший, холодный, натянутый
still	все еще, однако, тихий
stir	суета, суматоха, мешать, помешивать, волновать
stitch	стежок, петля (в вязании), шить
stockings	чулки (от stocking)
stocking	чулок
stocks	акции(запасы) 
stocky	коренастый, низкий, приземистый (!NEW!)
stock	запас, снабжать (не spare, hoard)
stolen	украденный (от steal)
stomach	живот, желудок
stone	камень
stool	табуретка
stooped	наклоненный 
stoop	наклонять(ся), нагибать(ся), сутулиться, горбиться
stoppage	остановка, задержка
stopped	остановились (от stop)
stopper	пробка, затычка
stops	остановки (от stop)
stop	остановка, перестать, остановиться
storage	хранение
stored	запасенный 
storey	этаж
store	магазин, имущество, запасать, снабжать
stories	истории, рассказы (от story)
stork	аист
stormy	бурный
storm	буря, взрыв (не blast)
story	рассказ, история
stout	тучный, дородный
stove	печь, плита
straightened	выправляемый 
straighten	выпрямлять(ся)
straightforward	прямой
straight	прямо, сразу, прямой, достоверный
strain	натягивать, напрягать(ся), напряжение
strait	узкий, пролив, затруднительное материальное положение, нужда
strangely	странным образом
strangers	незнакомцы 
stranger	незнакомец, иностранец
strange	странный
strangle	задушить
strap	ремень, стягивать ремнем
strategy	стратегия
strawberries	клубника
strawberry	земляника
straw	пустяк, мелочь
stray	сбиваться с пути, заблудившийся
stream	ручей, поток
street	улица
street	улица
strengthen	усиливать, укреплять
strength	численность, сила, прочность
stretched	растянутый (!NEW!)
stretching	протяжение 
stretch	растягивать, вытягиваться
strictly	строго
strict	точный
strike	ударять, забастовка
striking	бьющий, ударяющий (от strike)
strings	вереницы(нити) (не threads) 
string	вереница, ряд, струна, связывать
striped	полосатый
stripes	полосы 
strip	полоса
strode	походка, большой шаг (прошедшее время) (!NEW!)
stroke	удар, гладить
stroll	прогулка, гулять
strongest	самый сильный 
stronghold	крепость, оплот
strongly	решительно (первая буква не "d")
strong	сильный
struck	забастовка, удар (прошедшее время) (!NEW!)
structure	структура
struggle	бороться, борьба
struggling	борьба 
stubborn	упрямый
stuck	воткнул, приклеил (!NEW!)
students	студенты (от student)
student	студент
studied	учился (от study)
studious	прилежный
studio	студия
studying	занимается (от study)
study	учиться, изучать, заниматься, исследование, кабинет
stud	запонка
stuffed	наполненный 
stuffy	душный
stuff	вещество, материал, заполнять, набивать
stumbled	наткнулся 
stump	пень
stun	оглушать
stupid	глупый
style	стиль, фасон, прическа
subdued	подавленный
subjected	подвергнутый
subjects	предметы (от subject)
subject	предмет, содержание, подчинять
submarine	подводная лодка
submit	подчиняться
subqueries	подвопросы 
subquery	подвопрос 
subscriber	подписчик
subscribe	подписываться
subscription	подписка
subsequently	впоследствии
subsequent	последующий (не successive)
subsided	спадал 
substance	вещество
substantial	существенный, заметный, прочный, крепкий
substitute	заместитель
subtle	тонкий, неуловимый
suburb	пригород, окраина
succeeding	следование
succeed	достигать цели
successes	успехи (от success)
successfully	успешно
successful	удачный, успешный
succession	последовательность
successive	последующий
successor	преемник
success	успех, удача
such	такой
suck	сосать
suddenly	внезапно, вдруг
sudden	внезапный
sue	преследовать судебным порядком, возбуждать дело в суде
suffering	страдание
suffer	страдать
sufficiently	достаточно
sufficient	достаточный
suffix	суффикс (грам.)
suffocate	душить, задыхаться
sugar	сахар
suggested	предлагал, предложенный (от suggest)
suggestions	предложения (от suggestion)
suggestion	предложение
suggest	предлагать, советовать
suicide	самоубийство, самоубийца
suitable	подходящий, соответствующий (не eligible)
suitcases	чемоданы (от suitcase)
suitcase	чемодан
suited	удовлетворенный 
suite	номер люкс
suit	костюм, подходить, устраивать
sulky	мрачный, хмурый **l**
sulphur	сера
sultry	знойный, душный
summary	конспект, суммарный
summer	лето, летний
summit	вершина
summoned	вызванный 
summon	вызывать
sum	сумма, подводить итог
Sunday	воскресенье
sunflower	подсолнух
sunk	погруженным 
sunlight	солнечный свет
sunny	солнечный
sunrise	восход солнца
sunset	закат
sunshine	солнечный свет
sunstroke	солнечный удар
sun	солнце
superb	превосходный (не pretty)
superficial	поверхностный, внешний
superfluous	излишний, чрезмерный
superintendent	управляющий, заведующий
superintend	надзирать (за)
superiority	старшинство
superior	высший, лучший
superlative	превосходная степень (грам.)
supermarket	супермаркет
superserver	суперприслуга 
superstition	суеверие, предрассудки
supper	ужин
supplement	добавление
supplied	снабженный 
supplies	запасы(поставки) 
supply	снабжать
supported	поддержанный 
supporter	сторонник
supporting	опорный
support	поддерживать, опора, поддержка
supposedly	предположительно
supposed	предполагаемый (от suppose)
suppose	полагать, предполагать
suppressed	подавленный 
suppress	подавлять
supreme	верховный, высший
surely	несомненно
sure	уверенный, убедиться, безусловно
surfaces	поверхности 
surface	поверхность
surgeon	хирург
surgery	хирургия, приемная хирурга
surly	угрюмый, неприветливый **r**
surname	фамилия
surplus	излишек
surprise	удивление, удивлять
surprisingly	удивительно
surprising	удивительный
surroundings	окрестности, среда, окружение
surrounding	окружение 
surround	окружать
surveyed	рассмотренный 
surveying	рассмотрение
survey	осмотр
survive	пережить
suspected	подозреваемый 
suspect	подозревать
suspended	приостановленный (!NEW!)
suspend	приостанавливать
suspense	неизвестность
suspension	приостановка, пауза, перерыв
suspicions	подозрения 
suspicion	подозрение
suspicious	подозрительный
sustain	поддерживать
swallow	глотать, проглатывать
swamp	болото, топь
swam	плавал (от swim)
swan	лебедь
swarm	рой, толпа; роиться, толпиться (не crowd)
sway	качание, взмах
swear	клясться
sweater	эксплуататор
sweat	пот, потеть
sweep	(под)мести
sweetheart	возлюбленный(ая), дорогой(ая) (как обращение)
sweetness	сладость 
sweet	милый, сладкий, приятный
swelling	воспаление, отек
swell	отличный, превосходный
swept	подметал (!NEW!)
swiftly	быстро (!NEW!)
swift	быстрый (не speed)
swig	потягивать вино
swimmer	пловец
swimming	плавание
swim	плавать
swindle	обман, обманывать, надувать (не deceive)
swing	качание, качели, качаться, колебаться
switch	переключать, включать, выключатель, выключать
sword	меч, шпага, сабля
syllable	слог
symbol	символ
sympathetic	сочувственный
sympathize	сочувствовать
sympathy	симпатия, сострадание
syntax	синтаксис 
syringe	шприц
systems	системы 
system	система
tables	столы 
tablets	таблетки (от tablet)
table	стол, таблица, расписание
tab	петелька
tackle	хватать
tack	линия, курс
tactics	тактика
tag	бирка, ярлык
tail	конец, хвост
take	брать, взять, принимать
taking	овладение
talented	талантливый
talent	талант
tales	сказки, истории (от tale)
tale	повесть, сказка, история
talking	беседа
talk	говорить, беседовать
tally	бирка, этикетка, дубликат, копия (не label)
tall	невероятный, высокий
tame	приручать, приручить, прирученный
tangerine	мандарин (плод)
tangible	осязаемый
tangle	сплетение, путаница, запутывать(ся)
tank	танк, резервуар
tape	лента, обматывать лентой
tap	постучать
tap	постучать
target	задание
tar	смола, деготь; мазать дегтем, смолить
task	задача
tasted	пробовал (от taste)
tastes	имеет вкус (от taste)
taste	пробовать, иметь вкус
taught	обучал, обученный (от teach)
taxi	такси
taxi	такси
tax	налог
teacher	учитель
teaching	обучение
teach	обучать, преподавать
teams	команды (от team)
team	команда
tearing	разрывание
tears	слёзы (!NEW!)
tear	слеза, разрыв, (по)рвать
tease	дразнить, задира
tea	чай, отвар
technical	технический
technician	специалист
technique	техника
teddy	тэдди 
tedious	скучный, утомительный **d****
Ted	раскидывать
teenagers	подростки (от teenager)
teeth	зубы
telegram	телеграмма
telegraph	телеграф
telephone	телефон, звонить по телефону
telephone	телефон, звонить по телефону
telescope	телескоп
television	телевидение
tells	сообщает 
tell	говорить, рассказывать
temperature	температура
temper	сдержанность, самообладание
temple	храм
temple	храм
temporarily	временно
temporary	временный
temptation	искушение, соблазн
tempted	соблазненный 
tempt	искушать
tenant	арендатор, жилец
tendency	тенденция
tenderly	нежно, мягко (!NEW!)
tenderness	нежность (!NEW!)
tender	нежный
tend	иметь тенденцию
tennis	теннис
tense	время (грам.)
tentacles	щупальца 
tentative	предварительный, предполагаемый; умозрительный, не вполне определенный
tenth	десятый
tent	палатка
ten	десять
terminal	конечный пункт
terminate	кончать(ся)
terminus	конечная остановка 
terms	личные отношения, условия соглашения
term	семестр, срок
terrace	терраса
terrible	ужасный, страшный
terribly	ужасно
terrific	потрясающий, ужасающий
terrified	испуганный 
territory	территория
terror	ужас
testing	испытание
test	анализ, проверка, испытывать
textbook	учебник
text	текст
thankful	благодарный
thanks	спасибо
thank	благодарить
than	чем
that	это, тот, та, то
thaw	оттепель
theatres	театры (от theatre)
theatre	театр
thee	вас 
theft	кража
their	их (на вопрос "чей?")
theme	тема (не topic)
themselves	себя, себе
them	их (на вопрос "кого?", "что?")
thence	отсюда 
then	тогда, потом, затем
theory	теория
thereafter	после этого; впоследствии (не afterwards) (!NEW!)
thereby	таким образом
therefore	поэтому, следовательно
thereupon	после чего, на что
there	там, туда, вот
these	эти, это
they	они
the	определенный артикль
thicket	чаща 
thick	толстый, густой
thief	вор
thimble	наперсток, наконечник
things	вещи, дела (от thing)
thing	вещь, предмет
thinking	размышление
thinks	думает (от think)
think	думать, мыслить
thin	тонкий, худощавый
third	третий
thirsty	испытывающий жажду
thirst	жажда
thirteenth	тринадцатый
thirteen	тринадцать
thirty	тридцать
this	этот, это
Thomas	томас 
thong	ремень, плеть
thorny	колючий, тернистый ****n*
thorn	шип, колючка (не prick)
thoroughfare	проход, проезд
thoroughly	тщательно
thorough	тщательный
those	тот, та, то, те
thoughtfully	внимательно (!NEW!)
thoughtful	задумчивый, погруженный в размышления
thoughtless	необдуманный, беспечный, эгоистичный
thought	думал, обдуманный (от think), мысль
though	хотя, несмотря на
thousand	тысяча
thou	вы 
thrash	молотить, бить
thread	нитка
threatened	находящийся в угрожаемом положении (!NEW!)
threatening	угроза
threaten	грозить, угрожать
threat	угроза
three	три
threshold	порог
threw	бросал (не flung) (!NEW!)
thrice	трижды
thrilled	возбуждённый (!NEW!)
thrilling	захватывающий
thrill	волновать
thrive	преуспевать; буйно, пышно расти
throat	горло
throbbing	пульсация, биение
throb	пульсация, пульсировать
throne	трон
throng	толпиться, переполнять
throughout	повсюду, везде, во всех отношениях (не everywhere)
through	через, сквозь
throw	бросать
thrust	толчок, удар, толкать
thumb	большой палец (руки)
thunder	гром, греметь
Thursday	четверг
thus	так, таким образом
thy	ваш 
tickets	билеты (от ticket)
ticket	билет
tickle	щекотать
tide	прилив и отлив
tidying	уборка
tidy	чистый, аккуратный, убирать, приводить в порядок
tied	связанный (!NEW!)
ties	связи (от tie)
tie	связь, связывать, галстук
tiger	тигр
tighten	сжимать (не squeeze)
tight	плотный, крепкий, тугой
tile	черепица, кафель
till	до
Timeout	перерыв 
times	раз (от time)
timetable	расписание
time	время
timid	робкий, застенчивый
tim	тим 
tinker	ремесленник 
tinkle	звон, звяканье
tiny	крошечный
tin	олово, жестянка, консервная банка
tips	наконечники(чаевые) 
tiptoe	кончики пальцев, цыпочки
tip	чаевые, давать на "чай", наконечник
tired	усталый (от tire)
tiresome	утомительный
tire	уставать, надоесть
tiring	утомительный
title	заглавие, титул
toad	жаба
toast	тост (жар. хлеб), сушить
tobacco	табак
today's	сегодняшний (от today)
today	сегодня, теперь, современный
toddle	ковыляние, прогуливаться
toes	пальцы ноги(носки) 
toe	палец
toffee	ириска
together	вместе, одновременно
toilet	туалет
toil	трудиться, (тяжелый) труд
token	признак, примета
told	рассказал, сообщил (от tell)
tolerable	сносный, допустимый
tolerant	терпимый (не bearable)
tolerate	терпеть
tomatoes	помидоры (от tomato)
tomato	томат, помидор
