a barber; hairdressing	理发 lǐ fà 
to form; to take shape	形成 xíng chéng 
to foster; to bring up; to raise	抚养 fǔ yǎng 
to found; to establish; originate	创立 chuàng lì 
to frame (up); to make false charges against	陷害 xiàn hài 
to freeze (loan, wage, price etc)	冻结 dòng jié 
to freeze; to feel very cold; aspic or jelly	冻 dòng 
to freeze; to solidify; to congeal; fig. with rapt attention	凝固 níng gù 
to frighten; to scare; to intimidate; to threaten	吓 xià 
tofu; bean curd	豆腐 dòu fu 
to fulfill (one's obligations); to carry out (a task); to implement (an agreement); to perform	履行 lv3 xíng 
to furnish; to provide; supply (as in supply and demand)	供给 gōng jǐ 
to gamble	赌博 dǔ bó 
to gather; to collect; to harvest	采集 cǎi jí 
to gently caress and stroke; to pet; to fondle;	抚摸 fǔ mō 
to get angry; irritated; to annoy; to aggravate; annoying	恼火 nǎo huǒ 
together; in the same place; with; altogether (in total)	一起 yī qǐ 
together with; along with	连同 lián tóng 
to get into a habit; to become addicted	上瘾 shàng yǐn 
to get rich	发财 fā cái 
to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including	除 chú 
to get the desired outcome; to win favor by fawning on sb; to curry favor with; a fruitful outcome to reward one's labor;	讨好 tǎo hǎo 
to get up	起床 qǐ chuáng 
to give a discount	打折 dǎ zhé 
to give a name to; to dub; to christen; to designate; named after; naming	命名 mìng míng 
to give birth to a child; parturition; to produce; manufacture	生产 shēng chǎn 
to give one's respects; to send a greeting	问候 wèn hòu 
to give or have an injection	打针 dǎ zhēn 
to give rise to; to lead to; to cause; to arouse	引起 yǐn qǐ 
to give thought (to others); to consider (other people's needs)	着想 zhuó xiǎng 
to give; to help; to get along with; and; with	与 yǔ 
to give up halfway (idiom); leave sth unfinished	半途而废 bàn tú ér fèi 
to glitter; brilliant; splendid	灿烂 càn làn 
to gnaw; to nibble; to bite	啃 kěn 
to go back and forth; to go to and fro	往返 wǎng fǎn 
to go back; to turn around; to answer; to return; to circle; to revolve; Hui ethnic group; time; classifier for acts of a play; section or chapter (of a classic book)	回 huí 
to go bankrupt; to become impoverished; bankruptcy	破产 pò chǎn 
to go bankrupt; to close down	倒闭 dǎo bì 
to go easy; unhurried; calm; Taiwan pr. [cong1 rong2];	从容 cóng róng 
to go for; to engage in; to undertake; to deal with; to handle; to do	从事 cóng shì 
to go hunting	打猎 dǎ liè 
to go (in a direction); to; towards; (of a train) bound for; past; previous	往 wǎng 
to go on an official or business trip	出差 chū chāi 
to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc	出 chū 
to go round a curve; to turn a corner; fig. a new direction	拐弯 guǎi wān 
to go sight-seeing; to tour; to visit; CL:次[ci4]	游览 yóu lǎn 
to go the wrong way; to go against one-way traffic regulation;	逆行 nì xíng 
to go to bed; to go to sleep	睡觉 shuì jiào 
to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed	去 qù 
to go to work; to be on duty; to start work; to go to the office	上班 shàng bān 
to govern; to administer; to manage; to control	治理 zhì lǐ 
to grab; to catch; to arrest; to snatch; to scratch;	抓 zhuā 
to graduate; graduation; to finish school	毕业 bì yè 
to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)	把握 bǎ wò 
to grasp firmly; to pay special attention to; to rush in; to make the most of	抓紧 zhuā jǐn 
to grasp (often fig.); to control; to master; to know well; to understand sth well and know how to use it; fluency; to seize (initiative, opportunity, destiny)	掌握 zhǎng wò 
to greet sb by word or action; to give prior notice	打招呼 dǎ zhāo hu 
to grieve; to be broken-hearted; to feel deeply hurt; sad	伤心 shāng xīn 
to groan; to snort; to hum; to croon; humph!	哼 hēng 
to grow; to cultivate	栽培 zāi péi 
to grow	生长 shēng zhǎng 
to grumble	啰唆 luō suo 
to guarantee; to vouch for	担保 dān bǎo 
to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger);	戒 jiè 
to guard a pass; to check on sth	把关 bǎ guān 
to guard; to protect	守护 shǒu hù 
to guess	猜 cāi 
to guide; to give directions; to direct; to coach; guidance; tuition; CL:个	指导 zhǐ dǎo 
to guide; to lead; to conduct; introduction	引导 yǐn dǎo 
to guide; to lead	带领 dài lǐng 
to hack; to chop; to split open; see 噼劈啪, onomat. for crack, slap, clap, clatter etc	劈 pī 
to haggle; to bicker; to argue	计较 jì jiào 
to halt; to stop; to park (a car);	停 tíng 
to handle; to deal with; to cope; to get by with	对付 duì fu 
to handle; to take care of; to punish	处置 chǔ zhì 
to handle; to transact; to conduct	办理 bàn lǐ 
to handle; to treat; to deal with; to process; CL:个	处理 chǔ lǐ 
to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines)	交 jiāo 
to hand over; to explain; to make clear; to brief (sb); to account for; to justify oneself; to confess; to finish (colloquial)	交代 jiāo dài 
to hand over; to pass on sth; to gradually increase or decrease; progressively	递 dì 
to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects	挂 guà 
to happen; to occur; to take place; to break out	发生 fā shēng 
to hate to do sth; to hate to part with; to begrudge	舍不得 shě bu de 
to hate; to regret	恨 hèn 
to have a contest with sb; to cross swords; to measure up against; to compete with; to haggle; to quibble	较量 jiào liàng 
to have an accident (plane crash, shipwreck, vehicle collision etc); to mess things up	失事 shī shì 
to have a part time job; to do manual work	打工 dǎ gōng 
to have a reunion;	团圆 tuán yuán 
to have sb look after sb; to entrust the care of sb; to place (hope etc) on	寄托 jì tuō 
to have; there is; there are; to exist; to be	有 yǒu 
to have to; must; compulsory; necessarily	必须 bì xū 
to have; to possess	拥有 yōng yǒu 
to have to, to need to (particle used to express capability, possibility, degree, effect...); must; ought to; to need to	得 dé 
to hear (a case)	审理 shěn lǐ 
to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; surname Wen	闻 wén 
to heckle; rowdy jeering; to create a disturbance	起哄 qǐ hòng 
to heed; to pay attention to	理睬 lǐ cǎi 
to help; to lend a hand; to do a favor; to do a good turn	帮忙 bāng máng 
to hesitate	犹豫 yóu yù 
to hesitate	迟疑 chí yí 
to hew; to cut down	砍伐 kǎn fá 
to hinder; to obstruct	妨碍 fáng ài 
to hint; to indicate (an idea to sb)	示意 shì yì 
to hint; to suggest; suggestion; a hint	暗示 àn shì 
to hire; to recruit	招收 zhāo shōu 
to hit; to strike; to attack; to crack down on sth; a setback; a blow; percussion (music)	打击 dǎ jī 
to hit; to strike; to meet by accident; to run into; to bump against; to bump into	撞 zhuàng 
to hit with hands or fists; to start work; to touch	动手 dòng shǒu 
to hoard; to collect; collection	收藏 shōu cáng 
to hold a governmental office or post; to assume office of; to take charge of; to serve as	担任 dān rèn 
to hold (a meeting, ceremony etc)	举行 jǔ xíng 
to hold concurrent posts; part-time; concurrent job; moonlighting	兼职 jiān zhí 
to hold in store; to contain (untapped reserves etc)	蕴藏 yùn cáng 
to hold in the mouth	叼 diāo 
to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off	扒 bā 
to hold or embrace in one's arms	搂 lǒu 
to hold; to carry (in one's arms); to hug or embrace; surround; cherish	抱 bào 
to hold; to contain; to accommodate; to tolerate (different opinions)	容纳 róng nà 
to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle	把 bǎ 
to hold; to contain; to ladle; pick up with a utensil	盛 chéng 
to hold; to seize; to catch; to apprehend; to take	拿 ná 
to honor; to cite (in dispatches); cite (in dispatches); commend	表彰 biǎo zhāng 
to hope for; look forward to	盼望 pàn wàng 
to hope for sth; to count on; hope	指望 zhǐ wàng 
to hum and haw (idiom); to mumble as if hiding sth; to speak and break off, then start again; to hold sth back;	吞吞吐吐 tūn tūn tǔ tǔ 
to hurry up; hurriedly	赶紧 gǎn jǐn 
to ignite; combustion; flaming; kindle	燃烧 rán shāo 
to ignite; to burn	着火 zháo huǒ 
toilet; lavatory; CL:间[jian1] ,处[chu4]	厕所 cè suǒ 
toilet; lavatory; washroom	洗手间 xǐ shǒu jiān 
to imagine; to assume; to envisage; tentative plan; to have consideration for	设想 shè xiǎng 
to imagine; to fancy; CL:个	想象 xiǎng xiàng 
to imitate; to copy; to emulate; to mimic; model	模仿 mó fǎng 
to immigrate; to migrate; emigrant; immigrant	移民 yí mín 
to impart; to pass on; to teach	传授 chuán shòu 
to implement; to carry out; to put into practice	实行 shí xíng 
to implement; to carry out	实施 shí shī 
to implement; to put into practice; to carry out	贯彻 guàn chè 
to import; imported	进口 jìn kǒu 
to import; to input	输入 shū rù 
to improve; to make better; CL:个	改进 gǎi jìn 
to incite disharmony; to instigate	挑拨 tiǎo bō 
to incline; to lean; to slant; to slope; to tilt	倾斜 qīng xié 
to increase by degrees; in increasing order; incremental; progressive	递增 dì zēng 
to increase steadily; to grow with each passing day	与日俱增 yǔ rì jù zēng 
to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)	促使 cù shǐ 
to infect; contagious	传染 chuán rǎn 
to infer; a deduction; a corollary; a reasoned conclusion	推论 tuī lùn 
to inform; report; make known; speech; talk; lecture; CL:篇[pian1] ,份[fen4] ,个,通[tong4]	报告 bào gào 
to infringe on; to encroach on; to violate	侵犯 qīn fàn 
to inherit; to carry on; to succeed	继承 jì chéng 
to injure; to harm;	伤害 shāng hài 
to inlay; to embed; to set (e.g. a jewel in a ring); tiling; tesselation	镶嵌 xiāng qiàn 
to inquire	询问 xún wèn 
to insert; stick in; pierce; to take part in; to interfere; to interpose	插 chā 
to inspect and verify; experimental verification	验证 yàn zhèng 
to inspect; to examine; to test	检验 jiǎn yàn 
to inspect; to observe and study; on-the-spot investigation	考察 kǎo chá 
to install; to erect; to fix; to mount; installation	安装 ān zhuāng 
to instant-boil (mutton, beef, vegetables, etc.)	涮火锅 shuàn huǒ guō 
to instruct the young; to initiate; to awake sb from ignorance; to free sb from prejudice or superstition; primer; enlightened; the Enlightenment; Western learning from the late Qing dynasty;	启蒙 qǐ méng 
to insult; to humiliate; dishonor	侮辱 wǔ rǔ 
to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter	加剧 jiā jù 
to interfere; obstruction	干扰 gān rǎo 
to interfere; to meddle; interference	干涉 gān shè 
to interview; to gather news; to hunt for and collect; to cover	采访 cǎi fǎng 
to invent; invention; CL:个	发明 fā míng 
to investigate and capture (a criminal); to ferret out; to hunt down and arrest	查获 chá huò 
to investigate; dialectical	辩证 biàn zhèng 
to investigate; to probe	探讨 tàn tǎo 
to invite bids;	招标 zhāo biāo 
to invite; invitation; CL:个	邀请 yāo qǐng 
to involve; to implicate	牵扯 qiān chě 
to involve; to touch upon (a topic)	涉及 shè jí 
to irrigate	灌溉 guàn gài 
to irritate; to provoke; to upset; to stimulate; to excite; irritant	刺激 cì jī 
to issue; to proclaim; to enact (laws, decrees etc)	颁布 bān bù 
to issue; to promulgate; to award	颁发 bān fā 
to itch; to tickle	痒 yǎng 
to jeopardize; to harm; to endanger; CL:个	危害 wēi hài 
to join together; to combine	衔接 xián jiē 
to jump; to leap; to bound; to skip	跳跃 tiào yuè 
to keep as a souvenir; to recall fondly	留念 liú niàn 
to keep sth confidential; to maintain secrecy	保密 bǎo mì 
to keep; to maintain; to hold; to preserve	保持 bǎo chí 
to keep; to maintain; to preserve	维持 wéi chí 
to kidnap; to abduct; to hijack; a kidnapping; abduction; staking	绑架 bǎng jià 
to kill; to murder; to fight; to weaken or reduce; to smart (topolect); to counteract; (used after a verb) extremely	杀 shā 
to kiss; kiss; mouth	吻 wěn 
to knead; to massage; to rub	揉 róu 
to know (through learning or by experience); to realize; experience; CL:个	体会 tǐ huì 
to know; to be aware of	知道 zhī dào 
to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition	认识 rèn shi 
to land; to come ashore; to make landfall (of typhoon etc); to log in	登陆 dēng lù 
to lead; leading; leadership; leader; CL:位[wei4] ,个	领导 lǐng dǎo 
to lead; to be in front	领先 lǐng xiān 
to lead; to manage	主导 zhǔ dǎo 
to lead to; to create; to cause; to bring about	导致 dǎo zhì 
to leak (information); to divulge	泄露 xiè lù 
to leak (of information, liquid etc); to divulge	走漏 zǒu lòu 
to leak out; to divulge	透露 tòu lù 
to leak; to divulge; to leave out by mistake; waterclock or hourglass (old)	漏 lòu 
to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old);	靠 kào 
to lean against; to rely on; on the basis of; no matter (how, what etc); proof	凭 píng 
to lean on; to prop on	拄 zhǔ 
to leap; to bounce; to hop; to jump	蹦 bèng 
to leap; to jump; eager; enthusiastically	踊跃 yǒng yuè 
to leap	飞跃 fēi yuè 
to learn; to study	学习 xué xí 
to leave out; omission	省略 shěng lüè 
to leave; to bid farewell to; to say good-bye to	告别 gào bié 
to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old)	离 lí 
to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity)	借 jiè 
to lessen; to decrease; to reduce; to lower	减少 jiǎn shǎo 
to levy (a fine); to impose (a tariff)	征收 zhēng shōu 
to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949; CL:次[ci4]	解放 jiě fàng 
to lick; to lap	舔 tiǎn 
to lie on one's stomach	趴 pā 
to lift (a ban or restriction); to open to the outside world (politics); to open for public use; to come into bloom (of flowers)	开放 kāi fàng 
to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect	举 jǔ 
to lift; to raise in height; to begin; upsurge; to set off (a campaign)	掀起 xiān qǐ 
to lift; to raise; (of two or more persons) to carry	抬 tái 
to like; to be fond of	喜欢 xǐ huan 
to line up; queue up; form a line	排队 pái duì 
to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military)	连 lián 
to listen attentively	倾听 qīng tīng 
to listen; to hear; to obey; a can (loanword from English 'tin'); classifier for canned beverages	听 tīng 
to live (in a house); to lodge; to mail; to send; to entrust; to depend	寄 jì 
to live; to dwell; to stay; to reside; to stop	住 zhù 
to load or unload; to transfer; to assemble and disassemble	装卸 zhuāng xiè 
to loathe; to despise; contempt	蔑视 miè shì 
to loath; to hate; disgusted with sth	厌恶 yàn wù 
to lock up; to lock; CL:把[ba3]	锁 suǒ 
to look around; to inspect; visit and observe	参观 cān guān 
to look at; to see	瞧 qiáo 
to look at	看 kàn 
to look back; to review	回顾 huí gù 
to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly	愣 lèng 
to look down at; to overlook	俯视 fǔ shì 
to look down upon; to despise	看不起 kàn bu qǐ 
to look forward to; to await; expectation	期待 qī dài 
to look for	寻觅 xún mì 
to look in all directions (idiom); to glance around	东张西望 dōng zhāng xī wàng 
to look upon; to regard	看待 kàn dài 
to loosen; to relax	放松 fàng sōng 
to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented	昏迷 hūn mí 
to lose face	丢人 diū rén 
to lose; lost	遗失 yí shī 
to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear)	迷路 mí lù 
to lose; to forfeit	丧失 sàng shī 
to lose; to put aside; to throw	丢 diū 
to lose weight	减肥 jiǎn féi 
to lose	失去 shī qù 
to love; affection; to be fond of; to like	爱 ài 
to love and respect; love and respect	爱戴 ài dài 
to love ardently; to adore	热爱 rè ài 
to love dearly; the pain of love	心疼 xīn téng 
to love dearly	疼爱 téng ài 
to love sth too much to part with it (idiom); to fondle admiringly	爱不释手 ài bù shì shǒu 
to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with	认定 rèn dìng 
to make an exception	破例 pò lì 
to make a noise; noisy; to disturb by making a noise	吵 chǎo 
to make a phone call	打电话 dǎ diàn huà 
to make a sound; to sound; to ring; loud; classifier for noises	响 xiǎng 
to make a speech; statement; utterance	发言 fā yán 
to make better; to improve; CL:个	改善 gǎi shàn 
to make clear; to make known; to state clearly; to indicate; known	表明 biǎo míng 
to make every effort to; striving to do one's best;	力求 lì qiú 
to make headway; to make progress	进展 jìn zhǎn 
to make progress; to do better; fig. ambitious to improve oneself; to move forwards	上进 shàng jìn 
to make reprisals; to retaliate; revenge; retaliation	报复 bào fù 
to make; to manufacture	制作 zhì zuò 
to make trouble without reason (idiom); deliberately awkward; pointless provocation; willful trouble maker	无理取闹 wú lǐ qǔ nào 
to market; to sell	推销 tuī xiāo 
to marry; to get married; CL:次[ci4]	结婚 jié hūn 
tomato; CL:只[zhi1]	西红柿 xī hóng shì 
to mature; to grow; growth	成长 chéng zhǎng 
to meddle; to intervene; intervention	干预 gān yù 
to mediate; to bring parties to an agreement	调解 tiáo jiě 
to meet by chance; to come across; to fawn upon	逢 féng 
to meet; meeting; conference	会晤 huì wù 
to meet; to run into; to come across	遇到 yù dào 
to meet; to see sb; CL:次[ci4]	见面 jiàn miàn 
to meet; to welcome; to greet	迎接 yíng jiē 
to meet with; to encounter; (bitter) experience	遭遇 zāo yù 
to melt; to thaw; to dissolve; to blend into; to combine; to fuse	融化 róng huà 
to merge; to annex	合并 hé bìng 
to migrate; to move	迁徙 qiān xǐ 
to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反应, response or reaction	反映 fǎn yìng 
to miss; remember with longing; long to see again	想念 xiǎng niàn 
to miss (someone); to read (aloud); to study (a degree course); to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20)	念 niàn 
to mistreat; to maltreat; to abuse; mistreatment; maltreatment	虐待 nvè dài 
to misunderstand; to misread; misunderstanding	误解 wù jiě 
to misunderstand; to mistake; misunderstanding; CL:个	误会 wù huì 
to mix; to blend	混合 hùn hé 
to mix together (disparate substances); to mingle; a mix; to be tangled up with	夹杂 jiā zá 
to moan; to groan	呻吟 shēn yín 
to model; to mould; plastic (arts); flexible; to portray (in sculpture or in words)	塑造 sù zào 
to monitor; to oversee; to keep a close watch over; to spy on	监视 jiān shì 
to morally degenerate; to become depraved; a fall from grace; a fall into sin or depravity	堕落 duò luò 
tomorrow	明天 míng tiān 
to move back; to decline; to move back; to withdraw	退 tuì 
to move backwards; converse	倒 dào 
to move; movement; migration; mobile; portable	移动 yí dòng 
to move (sb); to touch (sb emotionally); moving	感动 gǎn dòng 
to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically	搬 bān 
to move up and down; to undulate; ups and downs	起伏 qǐ fú 
to narrow one's eyes; (Dialect) to nap; to take a nap	眯 mī 
to need; to want; to demand; needs; to require	需要 xū yào 
to negate; negative (answer); CL:个	否定 fǒu dìng 
to neglect sleep and forget about food (idiom); to skip one's sleep and meals; to be completely wrapped up in one's work;	废寝忘食 fèi qǐn wàng shí 
to neglect; to ignore	忽视 hū shì 
to neglect; to overlook; negligence; carelessness	疏忽 shū hu 
to neglect; to overlook; to ignore	忽略 hū lvè 
to negotiate; negotiation; talks; conference; CL:个	谈判 tán pàn 
to negotiate; relating to	交涉 jiāo shè 
tone; manner of speaking; mood; CL:个	语气 yǔ qì 
tone; note; a tone (on a Chinese syllable); CL:个	声调 shēng diào 
tone of voice; the way one speaks; manner of expression; tone	口气 kǒu qì 
tongue; enemy soldier captured for the purpose of extracting information; CL:个	舌头 shé tou 
to notify; to inform; notice; notification; CL:个	通知 tōng zhī 
ton	吨 dūn 
too bad; how terrible; what bad luck; terrible; bad	糟糕 zāo gāo 
to obey (an order); to comply; to defer	服从 fú cóng 
to obscure; to confuse; to mix up; to blur; to mislead	混淆 hùn xiáo 
to observe; to watch; to survey; to examine; observation; view; perspective; CL:个	观察 guān chá 
to obstruct; to hinder; to block	阻碍 zǔ ài 
to obtain; to receive; to get	获得 huò dé 
to occupy (a territory); to hold	占领 zhàn lǐng 
to occupy; to hold	占据 zhàn jù 
to offend; to violate; to go against	触犯 chù fàn 
to offend;	冒犯 mào fàn 
to offer for sale; to sell; to sell out or betray	出卖 chū mài 
tool; instrument; utensil; means (to achieve a goal etc)	工具 gōng jù 
too much; excessively	过于 guò yú 
too (much); very; extremely; highest; greatest	太 tài 
to open (eye)	睁 zhēng 
to open (one's eyes) wide; to stare at; to glare at	瞪 dèng 
to open; to start; to turn on; to operate (vehicle)	开 kāi 
to open up; to set up; to start; to build	开辟 kāi pì 
to operate; to control; to rig; to manipulate	操纵 cāo zòng 
to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical	对立 duì lì 
to oppress; to repress; to constrict; oppression; stress (physics)	压迫 yā pò 
to order the arrest of sb as criminal; to list as wanted;	通缉 tōng jī 
to organize; organization; organized system; nerve; tissue; CL:个	组织 zǔ zhī 
to organize; to host (a conference or sports event)	主办 zhǔ bàn 
tooth; dental; CL:顆|颗[ke1];	牙齿 yá chǐ 
toothpaste; CL:管[guan3]	牙膏 yá gāo 
to outline a story; to make a preliminary sketch	构思 gòu sī 
to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)	重叠 chóng dié 
to over-praise; to flatter	过奖 guò jiǎng 
to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until;	赶 gǎn 
to paint; to smear; to doodle	涂抹 tú mǒ 
to pair up; to match; to arrange in pairs; to add sth into a group	搭配 dā pèi 
to pan fry; to sauté	煎 jiān 
to parrot; to crib; to copy sb's action or words; to trail sb's footsteps; copy-cat	附和 fù hè 
to part company; to split up; to break up	分手 fēn shǒu 
to participate (in sth)	参与 cān yù 
to participate in; to invest in; to throw into; to put into; absorbed; engrossed;	投入 tóu rù 
to participate; to take part; to join	参加 cān jiā 
to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually	分别 fēn bié 
to pass a test	及格 jí gé 
to pass away; to die	去世 qù shì 
to pass away; to die	逝世 shì shì 
to pass on; to communicate; to transmit	转告 zhuǎn gào 
to pass on; to convey; to communicate	转达 zhuǎn dá 
to pass on; to convey; to relay; to transmit; transmission	传达 chuán dá 
to pass through; to cross; to overcome	穿越 chuān yuè 
to pass through; to get through; by means of; through; via; to adopt; to pass (a bill); to switch over	通过 tōng guò 
to pass; to go through; process; course; CL:个	经过 jīng guò 
to patrol (police, army or navy)	巡逻 xún luó 
to pause; to stop; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal	顿 dùn 
to pay attention to; to emphasize	注重 zhù zhòng 
to pay particular attention to; exquisite; aesthetic	讲究 jiǎng jiu 
to pay (taxes etc)	缴纳 jiǎo nà 
to pay the bill; to settle accounts	结账 jié zhàng 
to peel with a knife; to pare; to cut (a ball at tennis etc);	削 xuē 
to perfect sth that is already outstanding (idiom); constantly improving	精益求精 jīng yì qiú jīng 
to perfect; to make perfect; to improve	完善 wán shàn 
to permeate; to infiltrate; to pervade; osmosis	渗透 shèn tòu 
to permit; to allow	允许 yǔn xǔ 
to permit; to let sb do sth; to have sb do sthto yield	让 ràng 
to persecute; persecution	迫害 pò hài 
to persecute; to torment	折磨 zhé mó 
to persuade; to convince; to talk sb over	说服 shuō fú 
to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc)	弥漫 mí màn 
to photocopy; to duplicate a document	复印 fù yìn 
to (physically) straighten up; to stick out; to endure or hold out; straight; stiff; outstanding; extraordinary; rather; quite; very; classifier for machine guns	挺 tǐng 
to pick (flowers); to pinch; to clutch; (slang) to fight	掐 qiā 
to pick up; to collate or arrange; ten (banker's anti-fraud numeral)	拾 shí 
to pick up; to collect; to gather	捡 jiǎn 
topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:个,道[dao4]	题 tí 
to pile up; to heap; accumulation	堆积 duī jī 
to pile up; to heap up; pile (of things); a mass; heap; stack	堆 duī 
to pilot (ship, airplane etc); to drive	驾驶 jià shǐ 
to pinch (with one's fingers); to knead; to make up	捏 niē 
to pinch; wring	拧 níng 
to place an order; to book ahead	预订 yù dìng 
to place; to put aside; to shelve	搁 gē 
to plan; to intend; to calculate; plan; intention; calculation; CL:个	打算 dǎ suàn 
to plant; to grow;	种植 zhòng zhí 
to play a joke; to make fun of; to joke	开玩笑 kāi wán xiào 
to play a musical instrument; to perform music	演奏 yǎn zòu 
to play; toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to have fun; to trifle with; to keep sth for entertainment	玩 wán 
to play truant; to cut classes	旷课 kuàng kè 
to play with; to engage in; to resort to; to dally with	玩弄 wán nòng 
to play with; to juggle	耍 shuǎ 
to plot; to scheme; to bring about; to engineer; planning; producer; planner	策划 cè huà 
to plunder; to rob; also written 略略夺	掠夺 lvè duó 
to point out; to indicate; to instruct; directives; instructions; CL:个	指示 zhǐ shì 
to possess; to have; equipped with; able to fulfill (conditions or requirements)	具备 jù bèi 
to postpone; to put off; to defer	推迟 tuī chí 
to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold	浇 jiāo 
top priority job; matter of vital importance	当务之急 dāng wù zhī jí 
top quality; front ranking	一流 yī liú 
to practice; field work	实习 shí xí 
to practice fraud; to cheat; to engage in corrupt practices	作弊 zuò bì 
to practice; to put into practice; to fulfill	实践 shí jiàn 
to praise; to acclaim; to commend; to compliment	称赞 chēng zàn 
to praise; to commend	表扬 biǎo yáng 
to prattle; to chatter; talkative; garrulous; to nag	唠叨 láo dao 
to predict; prophecy	预言 yù yán 
to prepare a lesson	预习 yù xí 
to present; to introduce; to recommend; to suggest; to let know; to brief	介绍 jiè shào 
to preserve; to maintain; to retain; to continue to have; to reserve; reservations; to hold back (approval or acceptance)	保留 bǎo liú 
to press; to squeeze; to extract juice, oil etc by squeezing	压榨 yā zhà 
to pretend; to attire; outfit; adornment; to adorn; to dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack	装 zhuāng 
to prevent; to block	阻止 zǔ zhǐ 
to prevent; to guard against; to take precautions	防止 fáng zhǐ 
to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic	预防 yù fáng 
to prick; to run or stick (a needle etc) into; jug (a classifier for liquids such as beer)	扎 zhā 
to print; printing	印刷 yìn shuā 
to print; to seal; to stamp	打印 dǎ yìn 
to probe; to take readings; to explore; exploration	探测 tàn cè 
to process; processing; working (of machinery)	加工 jiā gōng 
to proclaim; to make public or well known	宣扬 xuān yáng 
to procure (for an enterprise etc); to purchase	采购 cǎi gòu 
to prohibit; to forbid; to ban	禁止 jìn zhǐ 
to prolong; to extend; to delay	延长 yán cháng 
to promise; to undertake to do something; commitment	承诺 chéng nuò 
to promote (an idea or cause); to advance; boost	促进 cù jìn 
to promote; to advocate	提倡 tí chàng 
to promote to a higher job; to select for promotion	提拔 tí bá 
to promote to a higher position	晋升 jìn shēng 
to prompt; to present; to point out; to draw attention to sth; hint; brief; cue	提示 tí shì 
to propagate; to disseminate; to spread	传播 chuán bō 
to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:个,点[dian3]	建议 jiàn yì 
to prop up; to bear; to send away; to pay or draw money; to support; to sustain; to erect; to raise; branch; division; surname Zhi; classifier for rods such as pens and guns, for army divisions and for songs or compositions; watt, classifier for power of light bulbs	支 zhī 
to prop up; to support; strut; brace	支撑 zhī chēng 
to protect; to defend; to safeguard; protection; CL:种[zhong3]	保护 bǎo hù 
to prove a point; proof; to expound on; demonstrate or prove (through argument)	论证 lùn zhèng 
