ability; competence	才干 cái gàn 
to brake (when driving); to stop; to switch off; to check (bad habits); a brake	刹车 shā chē 
to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself	摆脱 bǎi tuō 
to break in; to wear in	磨合 mó hé 
to break new ground (for agriculture); to open up (a new seam); to develop (border regions); fig. to open up (new horizons)	开拓 kāi tuò 
to break out; to erupt; to explode; to burst out	爆发 bào fā 
to break through; to make a breakthrough; to surmount or break the back of (a task etc); (of ball sports) to break through a defense	突破 tū pò 
to break; to snap; to suffer the loss of; to turn; to bend; to admire; to amount to; to discoun; to fold; turning stroke (in Chinese character); booklet	折 zhé 
to break up into components; to disintegrate; to collapse; to crumble	解体 jiě tǐ 
to break with both hands	掰 bāi 
to breathe deeply; to pant	喘气 chuǎn qì 
to breed; to reproduce; to propagate	繁殖 fán zhí 
to bribe; a bribe	贿赂 huì lù 
to bring back to life; to revive; resurrection	复活 fù huó 
to bring sth to sb (news etc)	捎 shāo 
to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad	凑合 còu he 
to brook no delay; to demand immediate action	刻不容缓 kè bù róng huǎn 
to build; to construct	修建 xiū jiàn 
to bully	欺负 qī fu 
to burst out; to gush; to spurt	迸发 bèng fā 
to bury	埋葬 mái zàng 
to call on (sb to do sth); to appeal (to); an appeal	呼吁 hū yù 
to call out (a name etc); to shout;	呼唤 hū huàn 
to call; to appeal	号召 hào zhào 
to capture; to take	攻克 gōng kè 
to care about; to mind	在意 zài yì 
to carry a story; to publish (in a newspaper or magazine)	刊登 kān dēng 
to carry (esp. slung over the arm, shoulder or side)	挎 kuà 
to carry (on one's person); to support (old); Taiwan pr. xi1 dai4	携带 xié dài 
to carve; to engrave; carving	雕刻 diāo kè 
to cast (pour metal into a mold)	铸造 zhù zào 
to catch; to seize; to capture	捕捉 bǔ zhuō 
to cause sb's death; very; extremely; frightening; annoying	要命 yào mìng 
to cause; to result in	致使 zhì shǐ 
to check on receipt; an inventory of received goods; to verify and accept (a delivery)	验收 yàn shōu 
to check; to contain; to hold back; to keep within limits; to constrain; to restrain	遏制 è zhì 
to chew	咀嚼 jǔ jué 
to chip away at a task and not abandon it (idiom); to chisel away at sth; to persevere; unflagging efforts	锲而不舍 qiè ér bù shě 
to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)	憋 biē 
to choose; to pick; to sort out; to pick up	拣 jiǎn 
to chop the nail and slice the iron (idiom); resolute and decisive; unhesitating; definitely; without any doubt	斩钉截铁 zhǎn dīng jié tiě 
to circulate	流通 liú tōng 
to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter	捧 pěng 
to climb; to pull oneself up; to clamber; to scale; fig. to forge ahead in the face of hardships and danger	攀登 pān dēng 
to collapse; to crumble; to fall apart	崩溃 bēng kuì 
to collapse; to disintegrate; to crumble	瓦解 wǎ jiě 
to collude with; to collaborate with; to gang up with	勾结 gōu jié 
to come out; to emerge	展现 zhǎn xiàn 
to comment on; to discuss; comment; commentary; CL:篇[pian1]	评论 píng lùn 
to commit an offense; to violate the law; excuse me! (formal); see also 得得罪[de2 zui5]	得罪 dé zuì 
to compel; to force	强迫 qiǎng pò 
to complain	埋怨 mán yuàn 
to complement one another (idiom)	相辅相成 xiāng fǔ xiāng chéng 
to complement; to make up for a deficiency	弥补 mí bǔ 
to complete a construction project	落成 luò chéng 
to complete a contract; to reach a deal	成交 chéng jiāo 
to compose; to constitute; compound; synthesis; mixture; synthetic	合成 hé chéng 
to compress; compression	压缩 yā suō 
to compromise; to reach terms; a compromise	妥协 tuǒ xié 
to conceal a fault; to gloss over	掩饰 yǎn shì 
to conceal; to hide (a taboo subject); to cover up the truth	隐瞒 yǐn mán 
to conceal; to hide behind; to cover up	掩盖 yǎn gài 
to conceal; to hide; covert; under cover	隐蔽 yǐn bì 
to concede; to give in; to yield; a concession	让步 ràng bù 
to concentrate one's attention (idiom)	聚精会神 jù jīng huì shén 
to conclude; to determine; to come to a judgment	断定 duàn dìng 
to condense; to coagulate; coacervation (i.e. form tiny droplets); aggregation; coherent	凝聚 níng jù 
to confirm (sth to be true); to verify	证实 zhèng shí 
to consecrate; to dedicate; to devote	奉献 fèng xiàn 
to consider; to deliberate; to fill up a cup to the brim	斟酌 zhēn zhuó 
to consign (goods); to check through (baggage)	托运 tuō yùn 
to consolidate; consolidation; to strengthen	巩固 gǒng gù 
to constrain or repress emotions; oppressive; stifling; depressing; repression	压抑 yā yì 
to consult a reference; to refer to (another document)	参照 cān zhào 
to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations	磋商 cuō shāng 
to consult with; to talk things over; agreement	协商 xié shāng 
to continue the struggle (idiom); to persist; unremitting efforts	再接再厉 zài jiē zài lì 
to continue; to go on; to last	延续 yán xù 
to contract; to undertake (a job)	承包 chéng bāo 
to contrast; to compare; to place side by side for comparison (as parallel texts); to check	对照 duì zhào 
to control; to curb; to restrict; to impede; to pin down (enemy troops)	牵制 qiān zhì 
to control; to restrict; to moderate; to temper; moderation; sobriety; to administer;	节制 jié zhì 
to control; to supervise; to inspect	监督 jiān dū 
to cool off; cooling	冷却 lěng què 
to cooperate; partner	搭档 dā dàng 
to coordinate; to harmonize; negotiation	协调 xié tiáo 
to correct; to make a correction	更正 gēng zhèng 
to correct; to make right	纠正 jiū zhèng 
to correspond; a correspondence; corresponding; homologous; matching with sth; counterpart	对应 duì yìng 
to correspond; answering (one another); to agree (among the part); corresponding; relevant; appropriate; (modify) accordingly	相应 xiāng yìng 
to count numbers; to keep to one's word; to hold (i.e. to remain valid); to count (i.e. to be important)	算数 suàn shù 
to cover the whole (area); to be found throughout	遍布 biàn bù 
to cover	覆盖 fù gài 
to create; to produce; to write; creative work; creation; CL:个	创作 chuàng zuò 
to criticize; to find fault with; to denounce	指责 zhǐ zé 
to cross over (by ferry); transition; interim; caretaker (administration)	过渡 guò dù 
to cross; to intersect	交叉 jiāo chā 
to curb; to put a stop to; to stop; to check; to limit	制止 zhì zhǐ 
to cut short; to break off; to discontinue	中断 zhōng duàn 
to cut staff; to lay off employees	裁员 cái yuán 
to cut the ribbon (at a launching or opening ceremony)	剪彩 jiǎn cǎi 
to cut; to cut apart	割 gē 
to cycle; to circulate; circle; loop	循环 xún huán 
to damage; to injure	损坏 sǔn huài 
to dare to; to be brave enough to	勇于 yǒng yú 
to daydream; lost in thought	发呆 fā dāi 
to dazzle; dazzling	耀眼 yào yǎn 
to deceive; to cheat	欺骗 qī piàn 
to declare one's position; to say where one stands	表态 biǎo tài 
to decline; to fall; to drop; to falter; a decline; recession (in economics)	衰退 shuāi tuì 
to decorate; an ornament; to adorn; only for show	点缀 diǎn zhuì 
to deduce; to infer	演绎 yǎn yì 
to defend; to safeguard; to protect; to uphold; to maintain	维护 wéi hù 
to defend; to safeguard	保卫 bǎo wèi 
to defraud; to swindle; to blackmail	诈骗 zhà piàn 
to degenerate; to go bad; to deteriorate; metamorphosis	变质 biàn zhì 
to delay; to extend; to postpone; to defer	延期 yán qī 
to demonstrate (as a protest); a demonstration; a military show of force	示威 shì wēi 
to demonstrate; to show how to do sth; demonstration; a model example	示范 shì fàn 
to denounce; to condemn; to criticize; condemnation; criticism	谴责 qiǎn zé 
to depend on; to be dependent on	依赖 yī lài 
to deposit money; to save; savings	储蓄 chǔ xù 
to descend to	降临 jiàng lín 
to describe; to portray	描绘 miáo huì 
to despise; to disdain; to look down upon;	鄙视 bǐ shì 
to despise; to look down on;	藐视 miǎo shì 
to destroy (by melting or burning); to obliterate	销毁 xiāo huǐ 
to detain (a prisoner); to keep sb in custody	拘留 jū liú 
to detain; retention	滞留 zhì liú 
to develop; growth; development	发育 fā yù 
to develop; to evolve	演变 yǎn biàn 
to develop; to make full use of	发扬 fā yáng 
to differ; discrepancy between	相差 xiāng chà 
to differentiate; to distinguish	鉴别 jiàn bié 
to differentiate; to find differing aspects	区分 qū fēn 
to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:个	处分 chǔ fèn 
to discriminate against; discrimination	歧视 qí shì 
to discuss	洽谈 qià tán 
to disdain as beneath contempt	不屑一顾 bú xiè yī gù 
to disinfect; to sterilize	消毒 xiāo dú 
to dislike; suspicion; resentment; enmity; abbr. for 嫌嫌犯[xian2 fan4] , criminal suspect	嫌 xián 
to display; to exhibit	陈列 chén liè 
to dispose; to deploy; deployment	部署 bù shǔ 
to dissect (an animal); to analyze; anatomy	解剖 jiě pōu 
to disseminate;	散布 sàn bù 
to distinguish; to differentiate; to resolve; to defend against an accusation; to exculpate	分辨 fēn biàn 
to distinguish; to discern	识别 shí bié 
to distort; to misrepresent	歪曲 wāi qū 
to disturb; to cause a commotion; to harass;	骚扰 sāo rǎo 
to disturb; to look for trouble; to stir up a row; to bother sb intentionally	捣乱 dǎo luàn 
to disturb; to perturb; to harass	扰乱 rǎo luàn 
to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger	徘徊 pái huái 
to dive; to go under water; lurker (Internet slang for sb who reads forum posts but never replies)	潜水 qián shuǐ 
to divide	划分 huà fēn 
to dominate; to allocate	支配 zhī pèi 
to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it	拼命 pīn mìng 
to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions	疑惑 yí huò 
to do with difficulty; to force sb to do sth; reluctant; barely enough	勉强 miǎn qiǎng 
to drag; to haul	拽 zhuài 
to drain; to drench; to drip; diseases of the bladder	淋 lín 
to draw close to	靠拢 kào lǒng 
to draw support from; with the help of	借助 jiè zhù 
to draw up; to draft; to formulate	拟定 nǐ dìng 
to drift about; to wander; to roam; nomadic; homeless; unsettled (e.g. population); vagrant	流浪 liú làng 
to drift apart; to become estranged; to alienate; estrangement;	疏远 shū yuǎn 
to drop; to fall; to tumble; Taiwan pr. die2	跌 diē 
to dry in the air	晾 liàng 
to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add colour washes to a painting	染 rǎn 
to ease (tension); to alleviate; to moderate; to allay; to make more mild	缓和 huǎn hé 
to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by	敷衍 fū yǎn 
to elect; election; CL:次[ci4] ,个	选举 xuǎn jǔ 
to eliminate; to get rid of; to remove	排除 pái chú 
to eliminate; to remove	消除 xiāo chú 
to embroider	绣 xiù 
to emerge in large numbers; to spring up; to emerge prominently	涌现 yǒng xiàn 
to empathize; to allow (for something); to show understanding; to appreciate	体谅 tǐ liàng 
to employ; to hire	雇佣 gù yōng 
to encourage; to urge; motivation; incentive	激励 jī lì 
to encourage	勉励 miǎn lì 
to endorse; to support	拥护 yōng hù 
to endure; to suffer; hardships; torments; a hard time; a nuisance	受罪 shòu zuì 
to enforce; enforcement; forcibly; compulsory	强制 qiáng zhì 
to enlarge; to magnify	放大 fàng dà 
to ensure; to guarantee; to safeguard	保障 bǎo zhàng 
to ensure; to guarantee	确保 què bǎo 
to entertain; to treat cordially	款待 kuǎn dài 
to entice; to lure; to induce; to attract	诱惑 yòu huò 
to entrap; to frame; to plant false evidence against sb	诬陷 wū xiàn 
to entrust; to trust; to commission	委托 wěi tuō 
to envelop; to shroud	笼罩 lǒng zhào 
to erase; to cover traces; to obliterate evidence; to expunge; to blot out; to suppress	抹杀 mǒ shā 
to erect; vertical; vertical stroke (in Chinese characters)	竖 shù 
to establish; to fix; to settle	奠定 diàn dìng 
to establish; to institute	确立 què lì 
to evade; to shun; to avoid	回避 huí bì 
to evaluate; to assess; assessment; evaluation	评估 píng gū 
to evaporate; evaporation	蒸发 zhēng fā 
to examine or inspect; self-criticism; review	检讨 jiǎn tǎo 
to examine; to check up on; to assess; to review; appraisal; review; evaluation	考核 kǎo hé 
to examine; to investigate; to censor out; censorship	审查 shěn chá 
to excavate; to dig; to unearth	挖掘 wā jué 
to excite; to raise up; to shrug; high; lofty; towering	耸 sǒng 
to exert (effort or pressure)	施加 shī jiā 
to exist; to survive	生存 shēng cún 
to expand	扩充 kuò chōng 
to expel; to deport; banishment	驱逐 qū zhú 
to expel	开除 kāi chú 
to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself	辩解 biàn jiě 
to exploit; exploitation	剥削 bō xuē 
to explore; to probe; commonly used in names of publications or documentaries	探索 tàn suǒ 
to expose; to reveal; to lay bare	暴露 bào lù 
to expose; to unmask; to ferret out; to disclose; disclosure	揭露 jiē lù 
to expound (a position); to elaborate (on a topic); to treat (a subject)	阐述 chǎn shù 
to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致致词	致辞 zhì cí 
to express sympathy, greetings, consolation etc	慰问 wèi wèn 
to express; to reveal (one's thoughts or feelings)	流露 liú lù 
to extend; to spread	延伸 yán shēn 
to extend; to spread	蔓延 màn yán 
to extract (ore, minerals etc); to refine; to purify; to process	提炼 tí liàn 
to extract (ore or other resource from a mine); to exploit; to mine	开采 kāi cǎi 
to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint	辜负 gū fù 
to fall; to drop; to weigh down	坠 zhuì 
to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; to smash, spike or dunk (a ball); to cover (with a bowl etc); fig. to tag a label on sb;	扣 kòu 
to fawn on; to curry favor with; to make up to	巴结 bā jie 
to fear; to dread; foreboding	畏惧 wèi jù 
to feed (sb or some animal)	喂 wèi 
to feel about; to grope about; to fumble; to do things slowly	摸索 mō suo 
to feel sorry for a person over sth that should have happened	惋惜 wǎn xī 
to feign; to pretend to be; to pass oneself off as	冒充 mào chōng 
to fight a battle; to go to war	打仗 dǎ zhàng 
to fight; to battle; CL:场[chang2] ,次[ci4]	战斗 zhàn dòu 
to fight; to scuffle; to come to blows; CL:场[chang2]	打架 dǎ jià 
to file a lawsuit; to sue; to dispute	打官司 dǎ guān si 
to filter; filter	过滤 guò lv4 
to filter	筛选 shāi xuǎn 
to find; to detect; to discover	发觉 fā jué 
to finish; to end; to complete	完毕 wán bì 
to fire; to sack; to dismiss	解雇 jiě gù 
to fish out (from pocket); to scoop	掏 tāo 
to fish up; to dredge up	捞 lāo 
to flatter; to laud sb's accomplishments; adulation	吹捧 chuī pěng 
to flee; to scuttle; to exile or banish; to amend or edit	窜 cuàn 
to float; to hover; to drift (also fig., to lead a wandering life); to rove; showy; superficial	漂浮 piāo fú 
to follow sb's tracks; to tail; to shadow	跟踪 gēn zōng 
to follow; to abide by; to comply with; compliance	遵循 zūn xún 
to follow	跟随 gēn suí 
to force; to compel; to coerce	逼迫 bī pò 
to forecast; to anticipate; expectation	预料 yù liào 
to forge; to fake; to counterfeit	伪造 wěi zào 
to form a complete set; coherent	配套 pèi tào 
to foster; to bring up; to raise	抚养 fǔ yǎng 
to found; to establish; originate	创立 chuàng lì 
to frame (up); to make false charges against	陷害 xiàn hài 
to freeze (loan, wage, price etc)	冻结 dòng jié 
to freeze; to solidify; to congeal; fig. with rapt attention	凝固 níng gù 
to fulfill (one's obligations); to carry out (a task); to implement (an agreement); to perform	履行 lv3 xíng 
to furnish; to provide; supply (as in supply and demand)	供给 gōng jǐ 
to gamble	赌博 dǔ bó 
to gather; to collect; to harvest	采集 cǎi jí 
to gently caress and stroke; to pet; to fondle;	抚摸 fǔ mō 
to get angry; irritated; to annoy; to aggravate; annoying	恼火 nǎo huǒ 
together with; along with	连同 lián tóng 
to get into a habit; to become addicted	上瘾 shàng yǐn 
to get rich	发财 fā cái 
to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including	除 chú 
to get the desired outcome; to win favor by fawning on sb; to curry favor with; a fruitful outcome to reward one's labor;	讨好 tǎo hǎo 
to give a name to; to dub; to christen; to designate; named after; naming	命名 mìng míng 
to give thought (to others); to consider (other people's needs)	着想 zhuó xiǎng 
to give up halfway (idiom); leave sth unfinished	半途而废 bàn tú ér fèi 
to glitter; brilliant; splendid	灿烂 càn làn 
to gnaw; to nibble; to bite	啃 kěn 
to go bankrupt; to close down	倒闭 dǎo bì 
to go easy; unhurried; calm; Taiwan pr. [cong1 rong2];	从容 cóng róng 
to go hunting	打猎 dǎ liè 
to go the wrong way; to go against one-way traffic regulation;	逆行 nì xíng 
to govern; to administer; to manage; to control	治理 zhì lǐ 
to groan; to snort; to hum; to croon; humph!	哼 hēng 
to grow; to cultivate	栽培 zāi péi 
to grumble	啰唆 luō suo 
to guarantee; to vouch for	担保 dān bǎo 
to guard a pass; to check on sth	把关 bǎ guān 
to guard; to protect	守护 shǒu hù 
to guide; to lead; to conduct; introduction	引导 yǐn dǎo 
to guide; to lead	带领 dài lǐng 
to hack; to chop; to split open; see 噼劈啪, onomat. for crack, slap, clap, clatter etc	劈 pī 
to haggle; to bicker; to argue	计较 jì jiào 
to handle; to deal with; to cope; to get by with	对付 duì fu 
to handle; to take care of; to punish	处置 chǔ zhì 
to hand over; to explain; to make clear; to brief (sb); to account for; to justify oneself; to confess; to finish (colloquial)	交代 jiāo dài 
to have a contest with sb; to cross swords; to measure up against; to compete with; to haggle; to quibble	较量 jiào liàng 
to have an accident (plane crash, shipwreck, vehicle collision etc); to mess things up	失事 shī shì 
to have a reunion;	团圆 tuán yuán 
to have sb look after sb; to entrust the care of sb; to place (hope etc) on	寄托 jì tuō 
to have; to possess	拥有 yōng yǒu 
to hear (a case)	审理 shěn lǐ 
to heckle; rowdy jeering; to create a disturbance	起哄 qǐ hòng 
to heed; to pay attention to	理睬 lǐ cǎi 
to hesitate	迟疑 chí yí 
to hew; to cut down	砍伐 kǎn fá 
to hint; to indicate (an idea to sb)	示意 shì yì 
to hint; to suggest; suggestion; a hint	暗示 àn shì 
to hire; to recruit	招收 zhāo shōu 
to hit; to strike; to attack; to crack down on sth; a setback; a blow; percussion (music)	打击 dǎ jī 
to hit with hands or fists; to start work; to touch	动手 dòng shǒu 
to hoard; to collect; collection	收藏 shōu cáng 
to hold in store; to contain (untapped reserves etc)	蕴藏 yùn cáng 
to hold in the mouth	叼 diāo 
to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off	扒 bā 
to hold or embrace in one's arms	搂 lǒu 
to hold; to contain; to accommodate; to tolerate (different opinions)	容纳 róng nà 
to hold; to contain; to ladle; pick up with a utensil	盛 chéng 
to honor; to cite (in dispatches); cite (in dispatches); commend	表彰 biǎo zhāng 
to hope for sth; to count on; hope	指望 zhǐ wàng 
to hum and haw (idiom); to mumble as if hiding sth; to speak and break off, then start again; to hold sth back;	吞吞吐吐 tūn tūn tǔ tǔ 
to imagine; to assume; to envisage; tentative plan; to have consideration for	设想 shè xiǎng 
to impart; to pass on; to teach	传授 chuán shòu 
to implement; to carry out; to put into practice	实行 shí xíng 
to implement; to carry out	实施 shí shī 
to implement; to put into practice; to carry out	贯彻 guàn chè 
to incite disharmony; to instigate	挑拨 tiǎo bō 
to incline; to lean; to slant; to slope; to tilt	倾斜 qīng xié 
to increase by degrees; in increasing order; incremental; progressive	递增 dì zēng 
to increase steadily; to grow with each passing day	与日俱增 yǔ rì jù zēng 
to infer; a deduction; a corollary; a reasoned conclusion	推论 tuī lùn 
to infringe on; to encroach on; to violate	侵犯 qīn fàn 
to inherit; to carry on; to succeed	继承 jì chéng 
to inlay; to embed; to set (e.g. a jewel in a ring); tiling; tesselation	镶嵌 xiāng qiàn 
to inspect and verify; experimental verification	验证 yàn zhèng 
to inspect; to examine; to test	检验 jiǎn yàn 
to inspect; to observe and study; on-the-spot investigation	考察 kǎo chá 
to instant-boil (mutton, beef, vegetables, etc.)	涮火锅 shuàn huǒ guō 
to instruct the young; to initiate; to awake sb from ignorance; to free sb from prejudice or superstition; primer; enlightened; the Enlightenment; Western learning from the late Qing dynasty;	启蒙 qǐ méng 
to insult; to humiliate; dishonor	侮辱 wǔ rǔ 
to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter	加剧 jiā jù 
to interfere; obstruction	干扰 gān rǎo 
to interfere; to meddle; interference	干涉 gān shè 
to investigate and capture (a criminal); to ferret out; to hunt down and arrest	查获 chá huò 
to investigate; dialectical	辩证 biàn zhèng 
to investigate; to probe	探讨 tàn tǎo 
to invite bids;	招标 zhāo biāo 
to involve; to implicate	牵扯 qiān chě 
to involve; to touch upon (a topic)	涉及 shè jí 
to irrigate	灌溉 guàn gài 
to issue; to proclaim; to enact (laws, decrees etc)	颁布 bān bù 
to issue; to promulgate; to award	颁发 bān fā 
to join together; to combine	衔接 xián jiē 
to jump; to leap; to bound; to skip	跳跃 tiào yuè 
to keep as a souvenir; to recall fondly	留念 liú niàn 
to keep sth confidential; to maintain secrecy	保密 bǎo mì 
to keep; to maintain; to preserve	维持 wéi chí 
to kidnap; to abduct; to hijack; a kidnapping; abduction; staking	绑架 bǎng jià 
to knead; to massage; to rub	揉 róu 
to land; to come ashore; to make landfall (of typhoon etc); to log in	登陆 dēng lù 
to lead; to be in front	领先 lǐng xiān 
to lead; to manage	主导 zhǔ dǎo 
to leak (information); to divulge	泄露 xiè lù 
to leak (of information, liquid etc); to divulge	走漏 zǒu lòu 
to leak out; to divulge	透露 tòu lù 
to lean on; to prop on	拄 zhǔ 
to leap; to bounce; to hop; to jump	蹦 bèng 
to leap; to jump; eager; enthusiastically	踊跃 yǒng yuè 
to leap	飞跃 fēi yuè 
to levy (a fine); to impose (a tariff)	征收 zhēng shōu 
to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949; CL:次[ci4]	解放 jiě fàng 
to lick; to lap	舔 tiǎn 
to lie on one's stomach	趴 pā 
to lift; to raise in height; to begin; upsurge; to set off (a campaign)	掀起 xiān qǐ 
to listen attentively	倾听 qīng tīng 
to load or unload; to transfer; to assemble and disassemble	装卸 zhuāng xiè 
to loathe; to despise; contempt	蔑视 miè shì 
to loath; to hate; disgusted with sth	厌恶 yàn wù 
to look back; to review	回顾 huí gù 
to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly	愣 lèng 
to look down at; to overlook	俯视 fǔ shì 
to look for	寻觅 xún mì 
to look in all directions (idiom); to glance around	东张西望 dōng zhāng xī wàng 
to look upon; to regard	看待 kàn dài 
to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented	昏迷 hūn mí 
to lose face	丢人 diū rén 
to lose; lost	遗失 yí shī 
to lose; to forfeit	丧失 sàng shī 
to love and respect; love and respect	爱戴 ài dài 
to love dearly; the pain of love	心疼 xīn téng 
to love sth too much to part with it (idiom); to fondle admiringly	爱不释手 ài bù shì shǒu 
to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with	认定 rèn dìng 
to make an exception	破例 pò lì 
to make every effort to; striving to do one's best;	力求 lì qiú 
to make headway; to make progress	进展 jìn zhǎn 
to make progress; to do better; fig. ambitious to improve oneself; to move forwards	上进 shàng jìn 
to make reprisals; to retaliate; revenge; retaliation	报复 bào fù 
to make trouble without reason (idiom); deliberately awkward; pointless provocation; willful trouble maker	无理取闹 wú lǐ qǔ nào 
to market; to sell	推销 tuī xiāo 
to meddle; to intervene; intervention	干预 gān yù 
to mediate; to bring parties to an agreement	调解 tiáo jiě 
to meet by chance; to come across; to fawn upon	逢 féng 
to meet; meeting; conference	会晤 huì wù 
to meet with; to encounter; (bitter) experience	遭遇 zāo yù 
to melt; to thaw; to dissolve; to blend into; to combine; to fuse	融化 róng huà 
to merge; to annex	合并 hé bìng 
to migrate; to move	迁徙 qiān xǐ 
to mistreat; to maltreat; to abuse; mistreatment; maltreatment	虐待 nvè dài 
to misunderstand; to misread; misunderstanding	误解 wù jiě 
to mix; to blend	混合 hùn hé 
to mix together (disparate substances); to mingle; a mix; to be tangled up with	夹杂 jiā zá 
to moan; to groan	呻吟 shēn yín 
to model; to mould; plastic (arts); flexible; to portray (in sculpture or in words)	塑造 sù zào 
to monitor; to oversee; to keep a close watch over; to spy on	监视 jiān shì 
to morally degenerate; to become depraved; a fall from grace; a fall into sin or depravity	堕落 duò luò 
to move up and down; to undulate; ups and downs	起伏 qǐ fú 
to narrow one's eyes; (Dialect) to nap; to take a nap	眯 mī 
to neglect sleep and forget about food (idiom); to skip one's sleep and meals; to be completely wrapped up in one's work;	废寝忘食 fèi qǐn wàng shí 
to neglect; to overlook; negligence; carelessness	疏忽 shū hu 
to neglect; to overlook; to ignore	忽略 hū lvè 
to negotiate; relating to	交涉 jiāo shè 
tone of voice; the way one speaks; manner of expression; tone	口气 kǒu qì 
tongue; enemy soldier captured for the purpose of extracting information; CL:个	舌头 shé tou 
to obey (an order); to comply; to defer	服从 fú cóng 
to obscure; to confuse; to mix up; to blur; to mislead	混淆 hùn xiáo 
to obstruct; to hinder; to block	阻碍 zǔ ài 
to occupy (a territory); to hold	占领 zhàn lǐng 
to occupy; to hold	占据 zhàn jù 
to offend; to violate; to go against	触犯 chù fàn 
to offend;	冒犯 mào fàn 
to offer for sale; to sell; to sell out or betray	出卖 chū mài 
too much; excessively	过于 guò yú 
to open (one's eyes) wide; to stare at; to glare at	瞪 dèng 
to open up; to set up; to start; to build	开辟 kāi pì 
to operate; to control; to rig; to manipulate	操纵 cāo zòng 
to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical	对立 duì lì 
to oppress; to repress; to constrict; oppression; stress (physics)	压迫 yā pò 
to order the arrest of sb as criminal; to list as wanted;	通缉 tōng jī 
to organize; to host (a conference or sports event)	主办 zhǔ bàn 
to outline a story; to make a preliminary sketch	构思 gòu sī 
to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)	重叠 chóng dié 
to over-praise; to flatter	过奖 guò jiǎng 
to paint; to smear; to doodle	涂抹 tú mǒ 
to pair up; to match; to arrange in pairs; to add sth into a group	搭配 dā pèi 
to pan fry; to sauté	煎 jiān 
to parrot; to crib; to copy sb's action or words; to trail sb's footsteps; copy-cat	附和 fù hè 
to pass away; to die	逝世 shì shì 
to pass on; to convey; to communicate	转达 zhuǎn dá 
to pass on; to convey; to relay; to transmit; transmission	传达 chuán dá 
to pass through; to cross; to overcome	穿越 chuān yuè 
to patrol (police, army or navy)	巡逻 xún luó 
to pay attention to; to emphasize	注重 zhù zhòng 
to pay (taxes etc)	缴纳 jiǎo nà 
to peel with a knife; to pare; to cut (a ball at tennis etc);	削 xuē 
to perfect sth that is already outstanding (idiom); constantly improving	精益求精 jīng yì qiú jīng 
to permeate; to infiltrate; to pervade; osmosis	渗透 shèn tòu 
to persecute; persecution	迫害 pò hài 
to persecute; to torment	折磨 zhé mó 
to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc)	弥漫 mí màn 
to pick (flowers); to pinch; to clutch; (slang) to fight	掐 qiā 
to pick up; to collate or arrange; ten (banker's anti-fraud numeral)	拾 shí 
to pile up; to heap; accumulation	堆积 duī jī 
to pinch (with one's fingers); to knead; to make up	捏 niē 
to pinch; wring	拧 níng 
to place; to put aside; to shelve	搁 gē 
to plant; to grow;	种植 zhòng zhí 
to play a musical instrument; to perform music	演奏 yǎn zòu 
to play truant; to cut classes	旷课 kuàng kè 
to play with; to engage in; to resort to; to dally with	玩弄 wán nòng 
to play with; to juggle	耍 shuǎ 
to plot; to scheme; to bring about; to engineer; planning; producer; planner	策划 cè huà 
to plunder; to rob; also written 略略夺	掠夺 lvè duó 
to point out; to indicate; to instruct; directives; instructions; CL:个	指示 zhǐ shì 
top priority job; matter of vital importance	当务之急 dāng wù zhī jí 
top quality; front ranking	一流 yī liú 
to practice fraud; to cheat; to engage in corrupt practices	作弊 zuò bì 
to prattle; to chatter; talkative; garrulous; to nag	唠叨 láo dao 
