ability	Fähigkeit
soil	schmutzig machen
soldier	Soldat
sold	verkaufte
solemn	feierlich
solid	von fester Beschaffenheit
solution	Lösung
solve	lösen
somebody	jemand
some day	eines Tages
somehow	irgendwie
some	irgendeines
some milk	etwas Milch
some more	noch etwas
someone	jemand
something	etwas
something to eat	etwas zum Essen
sometimes	manchmal
somewhat	ein bisschen
somewhere	irgendwo
son-in-law	Schwiegersohn
son	Sohn
soon after	bald danach
soon	bald
sooner	früher
sore throat	Halsschmerzen
sore	wund
sorrowful	voll Sorge
sorrow	Sorge
sorry !	Entschuldigung !
sort	Sorte
so	so
soul	Seele
sound	Ton
soup	Suppe
source	Ursprung
sour	sauer
southeast	südöstlich
southern	südlich
south of	südlich von
south	Süden
so we are even	wir sind somit gleich
sow (irr.)	säen
sown	gesät
space	Weltraum
spade	Spaten
Spain	Spanien
Spanish	spanisch
spare part	Ersatzteil
spare	übrig haben
speak about something	über etwas sprechen
speaker	Redner
speak from experience	aus Erfahrung sprechen
speak (irr.)	sprechen
sped	geeilt
speech	Rede
speed	Geschwindigkeit
speed (irr.)	eilen
spelling	Rechtschreibung
spell (irr.)	buchstabieren
spelt	buchstabierte
spend (irr.)	ausgeben
spent	gab aus
spin (irr.)	spinnen
spinning-wheel	Spinnrad
spirit	Geist
spit	spucken
splendid	großartig
splendidly	in großartiger Weise
split (irr.)	spalten
split	Spaltung
spoil (irr.)	verwöhnen
spoilt	verwöhnte
spoken	gesprochen
spoke	sprach
sponge	Schwamm
spoon	Löffel
sports-car	Sportwagen
sportsman	Sportler
sport	Sport
sportswoman	Sportlerin
spotless	fleckenlos
spot	Ort
spotted	gefleckt
sprang	sprang
spread	breitete aus
spread butter	Butter aufstreichen
spread (irr.)	sich ausbreiten
spread its wings	seine Flügel ausbreiten
spring (irr.)	springen
spring	Quelle
spring-time	Frühlingszeit
sprung	gesprungen
spun	spann
spy	Spion
square	Quadrat
stadium	Stadion
staff	Personal
stage	Stadium
stain	Flecken
stairs	Treppe
stamp-collector	Briefmarkensammler
stamp	stempeln
stand about	herumstehen
standardization	Standardisierung
standardize	standardisieren
standard	Standard
stand for	stehen für
stand (irr.)	stehen
stand up	steh auf
stand	vertragen
star	Stern
start	starten
statement	Erklärung
state	Zustand
stationed	stationiert
station	stationieren
stay	wohnen (vorübergehend)
steady	gleichmäßig
steak	Steak
steal (irr.)	stehlen
steam	dampfen
steam-engine	Dampfmaschine
steamer	Dampfer
steel	Stahl
steel tubing	Stahlrohr
steep	steil
steer	steuern
step	Stufe
stick (irr.)	stecken
stick	Stock
sticky	klebrig
stiffen	versteifen
stiffness	Steifheit
stiff	steif
stillness	Stille
still	sich nicht bewegend
sting	Insektenstich
sting (irr.)	stechen (Insekt)
stir	umrühren
stir up	aufrühren
stockings	Strümpfe
stock	Vorrat
stolen	gestohlen
stole	stahl
stomach	Magen
stone	Stein
stony	steinig
stood	stand
stop	Haltestelle
store-keeper	Lagerverwalter
store	Vorrat
storm	stürmen
stormy	stürmisch
story	Geschichte
story-teller	Geschichtenerzähler
stove	Ofen
straightaway	geradewegs
straighten	gerade machen
straight	gerade
strange behaviour	seltsames Benehmen
strange customs	fremde Gebräuche
strangely	in seltsamer Weise
stranger	Fremder
strange	seltsam
strap	Straps
strawberry	Erdbeere
straw	Trinkhalm
stream	strömen
street	Straße
strength	Stärke
stretched out his hand	streckte seine Hand aus
stretch	Strecke
strict	strikt
strike (irr.)	schlagen
strike	Streik
string	Bindfaden
stripe	Streifen
strip	Streifen
strong	stark
struck	schlug
structure	Bauwerk
struggle	kämpfen
stuck	steckte
student	Student(in)
study	Studium
stuff	Zeug
stung	stach
stupid	dumm
stupidity	Dummheit
stupidly	in törichter Weise
style	Stil
subject	Untergebener
substance	Substanz
succeed	nachfolgen
success	Erfolg
successful	erfolgreich
successfully	in erfolgreicher Weise
successor	Nachfolger
such a	solch ein
such as	wie zum Beispiel
such	solcher
suck	saugen
suddenly	plötzlich
sufferer	Leidender
suffer	leiden
sugar	Zucker
suggestion	Vorschlag
suggest	vorschlagen
suitable	passend
suitcase	Handkoffer
suit	passen
summer	Sommer
sum	Summe
sunbeam	Sonnenstrahl
sunburnt	braun gebrannt
Sunday	Sonntag
sung	gesungen
sunk	gesunken
sunlight	Sonnenlicht
sunny	sonnig
sun rise, day break	Sonnenaufgang
sunset, dusk	Sonnenuntergang
sunshine	Sonnenschein
sun	Sonne
supermarket	Supermarkt
super	Super (Benzin)
supper	spätes Abendessen
supply	Vorrat
supply with	beliefernmit
support	Unterstützung
suppose	vermuten
surely	sicherlich
sure	sicher
surface	Oberfläche
surgeon	Chirurg
surname	Familienname
surprise	Überraschung
surprisingly	überraschenderweise
surprising	überraschend
surroundings	Umgebung
surround	umgeben
survive	überleben
suspect	verdächtigen
suspicion	Argwohn
swallow	Schwalbe
swam	schwamm
swear (irr.)	schwören
sweat	schwitzen
Sweden	Schweden
sweep (irr.)	kehren
sweeten	süßen
sweets	Süßigkeiten
sweet	süß
swell (irr.)	schwellen
swept	gefegt
swim (irr.)	schwimmen
swing	schaukeln
Swiss	Schweizer
switch	Schalter (elektrischer)
Switzerland	Schweiz
swollen	geschwollen
sword	Schwert
swore	schwor
sworn	geschworen
swum	geschwommen
sympathy	Mitgefühl
table-cloth	Tischtuch
table of contents	Inhaltsverzeichnis
table	Tisch
table-top	Tischplatte
tablet	Tablette
tailor	Schneider
tail	Schwanz
take a bath	ein Bad nehmen
take a holiday	sich frei nehmen
take away	wegnehmen
take care (of)	achtgeben (auf)
take care of	sorgen für
take care	sei vorsichtig
take (irr.)	nehmen
take leave	Urlaub nehmen
take medicine	Medizin einnehmen
taken	genommen
take notice	Notiz nehmen
take off	starten (abheben) (Flugzeug)
take on a job	eine Arbeit übernehmen
take part	teilnehmen an
take place	stattfinden
take something back	etwas zurücknehmen
take things easy	nimm es leicht
take time	sich Zeit nehmen
talk about something	von etwas reden
talk business	vom Geschäft reden
talk over	besprechen
talk	reden
tall	groß (von Wuchs)
tame	zähmen
tape recorder	Tonbandgerät
tape	Tonband
tap on the door	leicht an die Tür klopfen
tap	Wasserhahn
task	Aufgabe (gestellte)
tasteless	geschmacklos
taste	schmecken
taught	unterrichtet
taxi	Taxi
tax	Steuer
teacher	Lehrer
teach (irr.)	lehren
tea-cup	Teetasse
team	Mannschaft
tea-party	Einladung zum Tee
tea-pot	Teekanne
tear apart	auseinander reißen
tear (irr.)	zerreißen
tear to pieces	in Stücke reißen
tear	Träne
tea-spoon	Teelöffel
tea	Tee
teeth	Zähne
telegram	Telegramm
telegraph	telegrafieren
telephone call	Anruf (Telefon)
telephone	telefonieren
television	Fernsehen
television screen	Bildschirm
television set	Fernsehgerät
tell a story	eine Geschichte erzählen
tell (irr.)	sagen
tell the truth	die Wahrheit sagen
temperature	Temperatur
temper	Temperament
temple	Tempel
temptation	Versuchung
tempt	versuchen zu verführen
tendency	Tendenz
tenderly	in zärtlicher Weise
tenderness	Zärtlichkeit
tender	zärtlich
tend	tendieren
tend to	neigen zu
ten minutes to three	zehn Minuten vor drei Uhr
tennis court	Tennisplatz
tenth	zehnte
tent	Zelt
ten	zehn
terms	Bedingungen (Vertrag)
term	Semester
terrible	schrecklich
terribly	auf schreckliche Art und Weise
test	Test
textbook	Lehrbuch
text	Text
than	als (bei Steigerung)
thankful	dankbar
thanks for the trouble !	danke für die Mühe !
thanksgiving	Danksagung
thank you	danke schön
thank you very much !	vielen Dank !
that	jenes
that will do	das genügt
the answer to a question	die Antwort auf eine Frage
the art of healing	die Heilkunst
theatre	Theater
theatrical performance	Theateraufführung
the attempt failed	der Versuch ging daneben
the British Isles	die britischen Inseln
the chief events of the year	die Haupereignisse des Jahres
the colour faded	die Farbe verblaßte
the daily press	die Tageszeitungen
the day after tomorrow	übermorgen
the	die
the doctor will fix you up	der Arzt wird dich gesund machen
the earth and the moon	Erde und Mond
the English	die Engländer
the English language	die englische Sprache
the essentials of the problem	die wesentlichen Punkte des Problems
the exact time	die genaue Zeit
the fall of an apple	der Fall eines Apfels
the human race	Menschheit
their	ihre
theirs	ihres
the key to his success	der Schlüssel zu seinem Erfolg
the light faded	das Licht erlosch
the man that I saw	der Mann den ich sah
themselves	sich (3. pers. pl.)
them	sie
the music rose and fell	die Musik wurde lauter und schwächer
then	dann
the people of this town	die Leute dieser Stadt
the present	die Gegenwart
the proper place	der richtige Ort
the proper time	die richtige Zeit
the real value	der wahre Wert
there	dorthin
therefore	deshalb
there goes the bell !	jetzt klingelt es !
there is no choice	es gibt keine Wahl
there you are !	da haben wir's !
the same	die gleiche
these	diese hier (pl.)
the sooner the better	je eher desto lieber
the story amused me	die Geschichte amüsierte mich
the strangest thing yet	die bisher seltsamste Sache
the street ended in a field	die Straße endete in einem Feld
the train is not due yet	der Zug ist noch nicht fällig
the train to London	der Zug nach London
the water is boiling	das Wasser kocht
the water is freezing	das Wasser gefriert
the weather changed	das Wetter hat sich geändert
the whole amount	der ganze Betrag
the wrong day	der falsche Tag
the wrong number	die falsche Nummer
they	sie (pl.)
thick	dick
thicken	dick machen
thickness	Dicke (Stärke)
thief (irr.)	Dieb
thieves	Diebe
thin	dünn
thing	Ding
thinker	Denker
think (irr.)	denken
third	dritte
thirst	Durst
thirst for knowledge	Wissensdrang
thirsty	durstig
thirteen	dreizehn
thirteenth	dreizehnte
thirtieth	dreißigste
thirty	dreißig
this afternoon	heute nachmittag
this day	heute
this	dieser hier
this evening	heute abend
this morning	heute morgen
this time next year	um diese Zeit im nächsten Jahr
this will cheer you up	das wird dich aufmuntern
this will ease the pain	dies wird die Schmerzen lindern
this work is easy	diese Arbeit ist leicht
thoroughly	gründlich
those	jene (dort) (pl.)
though	obwohl
thoughtfulness	Zuvorkommenheit
thoughtful	rücksichtsvoll
thoughtless	gedankenlos
thoughtlessness	Gedankenlosigkeit
thought	Überlegung
thousand	tausend
thousandth	tausendste
thread	Faden
threat	Drohung
threaten	drohen
three	drei
three times	dreimal
threw	warf
throat	Kehle
through	durch
through knowledge	gründliche Kenntnisse
throughout	überall
throw away	wegwerfen
throw (irr.)	werfen
thrown	geworfen
throw	Wurf
thumb	Daumen
thunder	donnern
thunderstorm	Gewitter
Thursday	Donnerstag
thus	so (auf diese Weise)
ticket	Fahrkarte
tidal	den Gezeiten unterworfen
tide	Gezeitenströmung
tidy	sauber
tie	Kravatte
tiger	Tiger
tight	eng anliegend
till	bis
time limit	Frist
time presses	die Zeit drängt
timetable	Stundenplan
time	Zeit
tin	Konservendose (Br.)
tiny	winzig
tip	Trinkgeld
tired	müde
tire	ermüden
to and fro	hin und her
tobacco	Tabak
today has been fine	der heutige Tag war schön
today	heute
toe	Zehe
together	zusammen
toilet	Toilette
told	erzählte
tomato	Tomate
tomorrow	morgen
tongue	Zunge
tonight	heute abend
ton	Tonne
took	nahm
tool-box	Werzeugkasten
tool	Werkzeug
too (nachgestellt)	auch
toothache	Zahnweh
toothbrush	Zahnbürste
too thick	zu dick
tooth (irr.)	Zahn
toothpaste	Zahnpasta
top corner	obere Ecke
topic	Gesprächsthema
top of the mountain	Berggipfel
top of the tree	Baumspitze
top	Spitze (oberstes Ende)
tore	zerriss
torn	zerrissen
total	Gesamtsumme
to the full extent	in vollem Ausmaß
touch	Berührung
tough	zäh
tourist	Tourist
tour	Rundreise
towards	gegen
towards the end	gegen Ende
towel	Handtuch
tower	Turm
town-hall	Rathaus(Br.)
town	Stadt
toy	Spielzeug
to	zu
trace	Spur
track	Gleis
tractor	Traktor
trade	Handel
trade is very dull	das Geschäft ist sehr flau
trade mark	Warenzeichen
trader	Händler
tradesman	Gewerbetreibender
trade union	Gewerkschaft
traffic lights	Verkehrsampel
traffic	Verkehr
training	Training
train	Zug (Bahn)
tram	Straßenbahn
translate	übersetzen
translation	Übersetzung
translator	Übersetzer
transport	transportieren
trap	in einer Falle fangen
travel-agency	Reisebüro
traveler	Reisender
travel	reisen
tray	Servierbrett
tread (irr.)	treten
treasurer	Schatzmeister
treasure	Schatz
treat	behandeln
treatment	Behandlung
tree	Baum
tremble	zittern
trial	Versuch
tribe	Volksstamm
trick	Trick (Streich)
trodden	getreten
trod	trat
troop	Truppe
troubled	in Schwierigkeiten gebracht
trouble maker	Unruhestifter
troublesome	lästig
trouble	Unruhe
trousers	Hose
truck	Lastkraftwagen(US)
true	wahr
truly	aufrichtig
trunk call	Ferngespräch(Br.)
trunk of a tree	Baumstamm
trunk	Rumpf
trustful	vertrauensvoll
trust	Vertrauen
truthful	wahrhaftig
truth	Wahrheit
try on	anprobieren
try	versuchen
tube	U-Bahn (London)
Tuesday	Dienstag
tune a piano	ein Klavier stimmen
tune	Melodie
turkey	Truthahn
Turkey	Türkei
turn around	such umdrehen
turn away	sich abwenden
turning point	Wendepunkt
turning	Querstraße
turn off	ausschalten
turn off the gas	das Gas abdrehen
turn on	einschalten
turn on the gas	das Gas aufdrehen
turn-over	Umsatz
turn the page	umblättern
turn the radio off	schalte das Radio ab
turn to the right	nach rechts abbiegen
turn	Wendung
twelfth	zwölfte
twelve	zwölf
twentieth	zwanzigste
twenty-first	einundzwanzigste
twenty-one	einundzwanzig
twenty-second	zweiundzwanzigste
twenty-third	dreiundzwanzigste
twenty-two	zweiundzwanzig
twenty	zwanzig
twice	zweimal
twist	verdrehen
two days ago	vor zwei Tage
two equal parts	zwei gleiche Teile
two	zwei
type	Typ
typewriter	Schreibmaschine
typist	Schreibkraft
ugly building	hässliches Gebäude
ugly	hässlich
umbrella	Regenschirm
unarmed	unbewaffnet
unavoidable	unvermeidlich
unbounded ambition	grenzenloser Ehrgeiz
unbutton	aufknöpfen
uncertainty	Ungewissheit
uncertain	ungewiss
uncle	Onkel
uncomfortable	unbequem
uncommon	ungewöhnlich
under 10 pounds	unter zehn Pfund
underclothing	Unterwäsche
underdeveloped	unterentwickelt
undergraduate	Student
underground	U-Bahn
underline	unterstreichen
underneath	darunter
under pressure	unter Druck
undersell	unterbieten
understanding	Verständnis
understand (irr.)	verstehen
understood	verstanden
undertake (irr.)	übernehmen
undertaken	übernommen
under the control of	unter Leitung von
under the impression that	unter dem Eindruck dass
under the name of	unter dem Namen von
under these conditions	unter diesen Bedingungen
under the skin	unter die Haut
undertook	übernahm
under	unter
uneducated	ungebildet
unemployed	arbeitslos
unemployment	Arbeitslosigkeit
uneventful	ohne Ereignisse
unhappy	unglücklich
uniform	Uniform
union	Vereinigung
United States of America	Vereinigte St. von Amerika
unit	Einheit
unite	vereinigen
unit of time	Zeiteinheit
unity	Einigkeit
universal	universell
universe	Weltall
university	Universität
unkind	unfreundlich
unknown	unbekannt
unlawful	unrechtmäßig
unless	wenn nicht
unlikely	unwahrscheinlich
unlucky	unglücklich
unnecessary	unnötig
unpack	auspacken
unpaid	unbezahlt
unpleasant	unangenehm
unsatisfactory	unbefriedigend
until	bis
untrue	unrichtig
unwilling	unwillig
up	hinauf
upon	auf (prep.)
up on the hill	droben auf dem Hügel
uppermost	zuoberst
upper	oberer
upright	aufrecht
uproot	entwurzeln
upset (irr.)	umwerfen
upset stomach	verdorbener Magen
upset the boat	das Boot umkippen
upset the milk-jug	das Milchkännchen umkippen
upset	umgekippt
upside-down	umgekehrt
upstairs	oben
up the hill	den Hügel hinauf
up-to-date	modern
up to midday	bis mittags
up to seven	bis sieben
upwards	aufwärts
urge	drängen
urgency	Eile
urgent	dringend
urgently	dringend (adv.)
used goods	gebrauchte Ware
used to (do)	pflegte zu (tun)
usefulness	Nützlichkeit
useful	nützlich
useless	nutzlos
use	Nutzen
use up	aufbrauchen
usually	üblicherweise
usual	üblich
us	uns
vacation	Urlaub
valley	Tal
valuables	Wertsachen
valuable	wertvoll
value added tax	Mehrwertsteuer
valueless	wertlos
value	Wert
variety	Spielart
various opinions	verschiedene Ansichten
various	verschiedenartig
veal	Kalbfleisch
vegetable	Gemüse
vehicle	Fahrzeug
veiled	verschleiert
veil	Schleier
venison	Wild(bret)
verb	Tätigkeitswort
violin	Violine
virtue	Tugend
virtuosity	Kunstfertigkeit
virtuous	vortrefflich
visit	besuchen
visitor	Gast
voice	Stimme
volume	Volumen
vote (for)	stimmen (für)
voter	Wähler
vote	Stimme des Wählers
wages	Lohn
wagon	Wagen
waistcoat	Weste
waist	Taille
wait and see	warte ab
waiter	Kellner
waiting room	Wartezimmer
waitress	Kellnerin
wait the result	warte auf das Ergebnis
wait	warten
wake (irr.)	aufwecken
wake up	wach auf
Wales	Wales
walking-stick	Spazierstock
walk	zu Fuß gehen
wall	Wand
wander	umherwandern
want	wünschen
wardrobe	Schrank (für Kleider)
war	Krieg
warmly	in freundlicher Weise
warmth	Wärme
warm	wärmen
warning	Warnung
warn	warnen
washing machine	Waschmaschine
wash the dishes	das Geschirr spülen
wash	waschen
wastefulness	Verschwendung
wasteful	verschwenderisch
wastepaper basket	Papierkorb
waste	verschwenden
was	war
watch-dog	Wachhund
watchman	Wächter
watch	wachen
waterfall	Wasserfall
water-proof	wasserdicht
water	Wasser
wave	winken
wavy	wellig
wax	Wachs
way	Weg
weaken	schwächen
weakness	Schwäche
weak	schwach
we all	wir alle
wealth	Reichtum
wealthy	reich
weapon	Waffe
wear	Abnutzung
wear a coat	einen Mantel tragen
wear down	abnutzen
wear (irr.)	tragen
wear off	sich abnutzen
weather forecast	Wettervoraussage
weather	Wetter (das)
weaver	Weber
weave	weben
wedding	Hochzeit
Wednesday	Mittwoch
weed	Unkraut jäten
weekday	Wochentag
weekend	Wochenende
weekly	wöchentlich
week	Woche
weep (irr.)	weinen
weight	Gewicht
weigh	wiegen
welcome	willkommen heißen
well-built	gut gebaut
well-chosen	gut gewählt
well-done	gut gemacht
well dried	gut getrocknet
well-meant	gut gemeint
well-off	gut dran
well	wohlauf
went	ging
wept	weinte
were	wärst
western	westlich
West Germany	Westdeutschland
westward	westwärts
west	Westen
wet	Nässe
we	wir
what can I do for you ?	was wünschen Sie bitte ?
what day will suit you	welcher Tag paßt dir
whatever	was auch immer
what is that	was ist das
what nonsense !	was für ein Unsinn !
what's the matter ?	was ist los ?
what's the news ?	was gibt es Neues ?
what	was für ein
wheat	Weizen
wheel	Rad
whenever	wann auch immer
when	wenn (zeitlich)
wherever	wo auch immer
where	wohin
whether	ob
whichever	welcher auch immer
which	welcher (Frage)
while	Weile
whilst	während
whipped cream	Schlagsahne
whip	schlagen
whisk(e)y	Whisky
whisper	flüstern
whistle	Pfeife (Signalpfeife)
white as snow	weiß wie Schnee
whiten	weißmachen
white	weiß (Farbe)
whoever	wer auch immer
who is there ?	wer ist da ?
whole	ganzer
wholly	ganz (adv.)
whom	welchen
who(m)	wen
whose	wessen
who	wer
why	warum
wicked	gottlos
wickedly	in boshafter Weise
wickedness	Bosheit
wide-awake	hellwach
widen	ausweiten
wide-spread	weitverbreitet
wide	weit
widow	Witwe
width	Breite
wife (irr.)	Frau (Gattin)
wild	wild
willing	gewillt
willingly	gerne
will	wollt
wind (irr.)	wickeln
window	Fenster
wind	Wind
windy	windig
wine and spirits	Weine und Spirituosen
wine	Wein
wing	Flügel
win (irr.)	gewinnen
winning	gewinnend
winter	Winter
wipe	wischen
wire	Telegramm(US)
wisdom	Weisheit
wise	weise
wish	wünschen
with caution	vorsichtig
withdraw (irr.)	zurückziehen
withdrawn	abgehoben
withdrew	hob ab
within easy reach	leicht zu erreichen
within five minutes	in fünf Minuten
within	in (innerhalb von)
with	mit
without effort	ohne Mühe
without money	ohne Geld
without	ohne
with the exception of	mit Ausnahme von
witness	Zeuge
wits	Verstand
wives	Ehefrauen
woken	aufgeweckt
woke up	weckte auf
wolf (irr.)	Wolf
wolves	Wölfe
woman (irr.)	Frau
women	Frauen
wonderfully	auf wunderbare Art und Weise
wonderful	wunderbar
wonder	Verwunderung
won	gewonnen
wooden	hölzern
wood	Wald
woolen	wollen (aus Wolle)
woolly	wollig
wool	Wolle
word of honour	Ehrenwort
word	Wort
wore	trug
workable	durchführbar
worker	Arbeiter(in)
working-class	Arbeiterklasse
working-day	Arbeitstag
workshop	Werkstatt
works	Werk
work under difficulties	unter Schwierigkeiten arbeiten
work	Werk
worldly	weltlich
world-record	Weltrekord
world	Welt
world-wide	weltweit
worm-eaten	von Würmern gefressen
worm	Wurm
worn	getragen (verb)
worn-out	abgenutzt
worry	Sorge
worse	schlimmer
worship	Verehrung
worst	schlimmste
worthless	wertlos
worth	Wert
worth-while	lohnend
worthy	würdig
would	würdet
would you like to ... ?	möchtest du ... ?
wounded	verwundet
wound	Wunde
wrap	einwickeln
wrapping paper	Einwickelpapier
wreck	zugrunde richten
wrist	Handgelenk
wristwatch	Armbanduhr
write (irr.)	schreiben
write it down	schreibe es nieder
writer	Schriftsteller(in)
writing	Schrift
written	geschrieben
wrongly	in ungerechter Weise
wrong	unrichtig
yard	Yard (Maß)
year	Jahr
yearly	jährlich
yellow	gelb
yes	ja
yesterday	gestern
yet	schon (bei Fragen)
yield	nachgeben
young	jung
your	euer
yourselves	euch selbst
yours faithfully	hochachtungsvoll
yours	Ihrer
yours sincerely	mit freundlichen Grüßen
you	Sie
youthful	jugendlich
youth	junger Mann
zebra crossing	Zebrastreifen
zebra	Zebra
zero	Null
zigzag	Zickzack
zip fastener	Reißverschluss (Br.)
zipper	Reißverschluss(US)
zip	Reißverschluss(Br.)
zither	Zither
zoo	Zoo
